Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902600	proton transmembrane transport	4.1e-07	OG0002339, OG0000601, OG0013670, OG0008735, OG0007170, OG0008394, OG0013985, OG0000497, OG0019211, OG0015039, OG0014852, OG0004150, OG0010174, OG0004832, OG0004636, OG0000539, OG0016073, OG0004020, OG0013509, OG0009535, OG0000267, OG0001562	Tfasc_v1.00821, Tfasc_v1.01733, Tfasc_v1.03307, Tfasc_v1.04825, Tfasc_v1.08937, Tfasc_v1.09378, Tfasc_v1.12282, Tfasc_v1.12961, Tfasc_v1.14165, Tfasc_v1.14724, Tfasc_v1.15749, Tfasc_v1.16080, Tfasc_v1.17578, Tfasc_v1.17712, Tfasc_v1.18209, Tfasc_v1.19742, Tfasc_v1.21051, Tfasc_v1.21510, Tfasc_v1.24559, Tfasc_v1.24696, Tfasc_v1.25154, Tfasc_v1.25341, Tfasc_v1.26998
BP	GO:0007623	circadian rhythm	9e-05	OG0017324, OG0000860, OG0005044, OG0005799, OG0014957, OG0000628, OG0011512	Tfasc_v1.06749, Tfasc_v1.10731, Tfasc_v1.10734, Tfasc_v1.10739, Tfasc_v1.11797, Tfasc_v1.13975, Tfasc_v1.14652, Tfasc_v1.21339, Tfasc_v1.23066
BP	GO:1902356	oxaloacetate(2-) transmembrane transport	0.0015	OG0007068, OG0015237	Tfasc_v1.08739, Tfasc_v1.19779
BP	GO:0070537	histone H2A K63-linked deubiquitination	0.0015	OG0003494	Tfasc_v1.09279, Tfasc_v1.09286
BP	GO:0009809	lignin biosynthetic process	0.0021	OG0004893, OG0001542, OG0002295, OG0017179	Tfasc_v1.03333, Tfasc_v1.07798, Tfasc_v1.11028, Tfasc_v1.26137
BP	GO:0006364	rRNA processing	0.0034	OG0004801, OG0002559, OG0008353, OG0001132, OG0000538, OG0000200, OG0001664, OG0003427, OG0000666, OG0001618, OG0001517, OG0001774, OG0001956, OG0000755, OG0002145	Tfasc_v1.03365, Tfasc_v1.05279, Tfasc_v1.07889, Tfasc_v1.08551, Tfasc_v1.09454, Tfasc_v1.10167, Tfasc_v1.10560, Tfasc_v1.11802, Tfasc_v1.13080, Tfasc_v1.15245, Tfasc_v1.17835, Tfasc_v1.17836, Tfasc_v1.18502, Tfasc_v1.21514, Tfasc_v1.27134, Tfasc_v1.27455, Tfasc_v1.28063, Tfasc_v1.29359, Tfasc_v1.29834, Tfasc_v1.29840
BP	GO:0046034	ATP metabolic process	0.0042	OG0013294, OG0003520, OG0000555, OG0010362, OG0000580, OG0000239, OG0011262, OG0015039, OG0000766, OG0000320, OG0007811, OG0001553, OG0008818, OG0013509, OG0009535, OG0001525, OG0001562, OG0010628	Tfasc_v1.02154, Tfasc_v1.04514, Tfasc_v1.07209, Tfasc_v1.07854, Tfasc_v1.09221, Tfasc_v1.11787, Tfasc_v1.13221, Tfasc_v1.14724, Tfasc_v1.17464, Tfasc_v1.17763, Tfasc_v1.20370, Tfasc_v1.21461, Tfasc_v1.24086, Tfasc_v1.24559, Tfasc_v1.25154, Tfasc_v1.26860, Tfasc_v1.26998, Tfasc_v1.28371
BP	GO:0015713	phosphoglycerate transmembrane transport	0.0043	OG0015371, OG0015738	Tfasc_v1.02314, Tfasc_v1.26941
BP	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	0.0043	OG0005503	Tfasc_v1.29344, Tfasc_v1.29346
BP	GO:0045951	positive regulation of mitotic recombination	0.0043	OG0005503	Tfasc_v1.29344, Tfasc_v1.29346
