"chrom"	"V2"	"V3"	"counts"
"1"	"Tfas_chr1"	"1"	"1e+06"	"154"
"2"	"Tfas_chr1"	"1000001"	"2e+06"	"114"
"3"	"Tfas_chr1"	"2000001"	"3e+06"	"106"
"4"	"Tfas_chr1"	"3000001"	"4e+06"	"63"
"5"	"Tfas_chr1"	"4000001"	"5e+06"	"94"
"6"	"Tfas_chr1"	"5000001"	"6e+06"	"72"
"7"	"Tfas_chr1"	"6000001"	"7e+06"	"43"
"8"	"Tfas_chr1"	"7000001"	"8e+06"	"50"
"9"	"Tfas_chr1"	"8000001"	"9e+06"	"17"
"10"	"Tfas_chr1"	"9000001"	"1e+07"	"23"
"11"	"Tfas_chr1"	"10000001"	"1.1e+07"	"8"
"12"	"Tfas_chr1"	"11000001"	"1.2e+07"	"18"
"13"	"Tfas_chr1"	"12000001"	"1.3e+07"	"16"
"14"	"Tfas_chr1"	"13000001"	"1.4e+07"	"10"
"15"	"Tfas_chr1"	"14000001"	"1.5e+07"	"17"
"16"	"Tfas_chr1"	"15000001"	"1.6e+07"	"16"
"17"	"Tfas_chr1"	"16000001"	"1.7e+07"	"5"
"18"	"Tfas_chr1"	"17000001"	"1.8e+07"	"25"
"19"	"Tfas_chr1"	"18000001"	"1.9e+07"	"16"
"20"	"Tfas_chr1"	"19000001"	"2e+07"	"23"
"21"	"Tfas_chr1"	"20000001"	"2.1e+07"	"20"
"22"	"Tfas_chr1"	"21000001"	"2.2e+07"	"24"
"23"	"Tfas_chr1"	"22000001"	"2.3e+07"	"19"
"24"	"Tfas_chr1"	"23000001"	"2.4e+07"	"17"
"25"	"Tfas_chr1"	"24000001"	"2.5e+07"	"23"
"26"	"Tfas_chr1"	"25000001"	"2.6e+07"	"45"
"27"	"Tfas_chr1"	"26000001"	"2.7e+07"	"29"
"28"	"Tfas_chr1"	"27000001"	"2.8e+07"	"59"
"29"	"Tfas_chr1"	"28000001"	"2.9e+07"	"84"
"30"	"Tfas_chr1"	"29000001"	"3e+07"	"132"
"31"	"Tfas_chr1"	"30000001"	"3.1e+07"	"132"
"32"	"Tfas_chr1"	"31000001"	"3.2e+07"	"135"
"33"	"Tfas_chr1"	"32000001"	"3.3e+07"	"21"
"34"	"Tfas_chr2"	"1"	"1e+06"	"89"
"35"	"Tfas_chr2"	"1000001"	"2e+06"	"96"
"36"	"Tfas_chr2"	"2000001"	"3e+06"	"99"
"37"	"Tfas_chr2"	"3000001"	"4e+06"	"107"
"38"	"Tfas_chr2"	"4000001"	"5e+06"	"131"
"39"	"Tfas_chr2"	"5000001"	"6e+06"	"127"
"40"	"Tfas_chr2"	"6000001"	"7e+06"	"73"
"41"	"Tfas_chr2"	"7000001"	"8e+06"	"58"
"42"	"Tfas_chr2"	"8000001"	"9e+06"	"57"
"43"	"Tfas_chr2"	"9000001"	"1e+07"	"32"
"44"	"Tfas_chr2"	"10000001"	"1.1e+07"	"42"
"45"	"Tfas_chr2"	"11000001"	"1.2e+07"	"29"
"46"	"Tfas_chr2"	"12000001"	"1.3e+07"	"22"
"47"	"Tfas_chr2"	"13000001"	"1.4e+07"	"25"
"48"	"Tfas_chr2"	"14000001"	"1.5e+07"	"20"
"49"	"Tfas_chr2"	"15000001"	"1.6e+07"	"19"
"50"	"Tfas_chr2"	"16000001"	"1.7e+07"	"13"
"51"	"Tfas_chr2"	"17000001"	"1.8e+07"	"12"
"52"	"Tfas_chr2"	"18000001"	"1.9e+07"	"22"
"53"	"Tfas_chr2"	"19000001"	"2e+07"	"20"
"54"	"Tfas_chr2"	"20000001"	"2.1e+07"	"14"
"55"	"Tfas_chr2"	"21000001"	"2.2e+07"	"19"
"56"	"Tfas_chr2"	"22000001"	"2.3e+07"	"23"
"57"	"Tfas_chr2"	"23000001"	"2.4e+07"	"16"
