gene_id	median_cov	mean_cov	og_id	Acom_count	Tfas_count	Tlei_count
Tfasc_v1.03784-RA	26	25.417964071856286	OG0000302	0	10	4
Tfasc_v1.06848-RA	34	31.82876064333018	OG0000302	0	10	4
Tfasc_v1.25708-RA	24	23.871333964049196	OG0000302	0	10	4
Tfasc_v1.29552-RA	45	48.90874905991477	OG0000302	0	10	4
Tfasc_v1.30140-RA	31.0	32.58571428571429	OG0000302	0	10	4
Tfasc_v1.02729-RA	18.0	18.510593220338983	OG0000302	0	10	4
Tfasc_v1.19847-RA	35	36.65426695842451	OG0000302	0	10	4
Tfasc_v1.04332-RA	21	25.489143693583802	OG0000302	0	10	4
Tfasc_v1.24927-RA	24.0	20.751162790697673	OG0000302	0	10	4
Tfasc_v1.14765-RA	28.0	30.721967963386728	OG0000302	0	10	4
Tfasc_v1.06968-RA	16.0	17.464285714285715	OG0019085	0	1	1
Tfasc_v1.06580-RA	45.0	44.201075268817206	OG0005004	2	1	1
Tfasc_v1.28119-RA	41.0	37.5959595959596	OG0014387	1	1	1
Tfasc_v1.21492-RA	38	37.744137571651905	OG0012079	1	1	1
Tfasc_v1.21483-RA	43.0	42.0058949624866	OG0012078	1	1	1
Tfasc_v1.24991-RA	38	38.0674678111588	OG0009609	1	1	1
Tfasc_v1.21524-RA	42.0	41.99701433121019	OG0012071	1	1	1
Tfasc_v1.21511-RA	42.0	41.68441588248795	OG0012070	1	1	1
Tfasc_v1.21520-RA	45.0	41.138888888888886	OG0012073	2	1	0
Tfasc_v1.21512-RA	22.0	22.018025078369906	OG0012072	1	1	1
Tfasc_v1.21484-RA	44	44.12440056417489	OG0012075	1	1	1
Tfasc_v1.21513-RA	30	31.376884422110553	OG0012074	1	1	1
Tfasc_v1.10135-RA	31	45.478341630135965	OG0000303	0	4	10
Tfasc_v1.10635-RA	29	30.663030709850645	OG0000303	0	4	10
Tfasc_v1.10688-RA	26.0	27.89446989528796	OG0000303	0	4	10
Tfasc_v1.10148-RA	19.0	19.561132337617227	OG0000303	0	4	10
Tfasc_v1.21485-RA	39	38.825176803394626	OG0012076	1	1	1
Tfasc_v1.14601-RA	46.0	49.55178204888972	OG0014938	1	1	1
Tfasc_v1.06170-RA	39.0	35.13452566096423	OG0006209	1	1	1
Tfasc_v1.06176-RA	21	25.087106017191978	OG0006208	1	1	1
Tfasc_v1.06175-RA	30	30.035019455252918	OG0006207	1	1	1
Tfasc_v1.06187-RA	39	36.89991487291743	OG0006206	1	1	1
Tfasc_v1.06203-RA	17.0	18.12824726134585	OG0006205	1	1	1
Tfasc_v1.06199-RA	46.0	45.3726055263604	OG0006204	1	1	1
Tfasc_v1.06551-RA	23.0	22.824758842443728	OG0005005	2	1	1
Tfasc_v1.06200-RA	30.0	30.155217391304348	OG0006202	1	1	1
Tfasc_v1.06197-RA	46	44.99182367579097	OG0006201	1	1	1
