scaffold	length	orthocount_all	orthocount_one	ratio	order
Scaffold_2199	32162447	1556	686	0.440874035989717	1
Scaffold_658	31698969	1535	712	0.463843648208469	2
Scaffold_2318	31153634	1396	597	0.427650429799427	3
Scaffold_2041	30972320	1474	666	0.451831750339213	4
Scaffold_2096	30145683	1361	633	0.465099191770757	5
Scaffold_2315	29567185	1296	576	0.444444444444444	6
Scaffold_2317	27230796	1353	451	0.333333333333333	7
Scaffold_2287	27210704	1297	561	0.432536622976099	8
Scaffold_326	26509606	960	418	0.435416666666667	9
Scaffold_1174	26021936	1273	586	0.460329929300864	10
Scaffold_2314	25842354	1388	654	0.471181556195965	11
Scaffold_2313	25341332	1044	439	0.420498084291188	12
Scaffold_2225	24881768	1137	509	0.447669305189094	13
Scaffold_1383	24649150	950	362	0.381052631578947	14
Scaffold_819	23784123	1094	547	0.5	15
Scaffold_15	23642332	1081	461	0.426456984273821	16
Scaffold_2073	21704838	1049	550	0.524308865586273	17
Scaffold_2321	21234157	970	442	0.455670103092783	18
Scaffold_2320	19440187	918	388	0.422657952069717	19
Scaffold_346	19367790	884	359	0.406108597285068	20
Scaffold_845	18018563	1040	496	0.476923076923077	21
Scaffold_2316	17107477	959	458	0.477580813347237	22
Scaffold_2312	16741216	891	401	0.450056116722783	23
Scaffold_53	13520883	805	356	0.442236024844721	24
Scaffold_2319	12332728	786	359	0.456743002544529	25
Scaffold_678	1111046	10	0	0	26
Scaffold_604	992221	10	0	0	27
Scaffold_1622	927377	14	2	0.142857142857143	28
Scaffold_2239	778425	6	0	0	29
Scaffold_2215	729739	6	1	0.166666666666667	30
Scaffold_2212	699952	9	0	0	31
Scaffold_1338	686986	8	0	0	32
Scaffold_2245	684759	8	1	0.125	33
Scaffold_2122	670388	8	1	0.125	34
Scaffold_965	655980	3	0	0	35
Scaffold_444	655846	8	0	0	36
Scaffold_777	634933	12	0	0	37
Scaffold_23	624743	5	1	0.2	38
Scaffold_2214	624309	8	0	0	39
Scaffold_2160	619647	12	0	0	40
Scaffold_2132	602031	6	1	0.166666666666667	41
Scaffold_268	590081	4	0	0	42
Scaffold_974	588019	15	0	0	43
Scaffold_2091	586031	5	1	0.2	44
Scaffold_1318	583691	5	0	0	45
Scaffold_42	573326	5	0	0	46
Scaffold_2101	571879	2	0	0	47
Scaffold_2198	566333	13	0	0	48
Scaffold_2014	565035	10	0	0	49
Scaffold_692	545017	6	1	0.166666666666667	50
Scaffold_799	542454	4	1	0.25	51
Scaffold_83	537208	4	0	0	52
Scaffold_2036	522522	7	0	0	53
Scaffold_702	521256	3	0	0	54
Scaffold_2217	514144	4	0	0	55
Scaffold_2282	511463	6	2	0.333333333333333	56
Scaffold_2296	511081	6	0	0	57
Scaffold_238	507992	5	1	0.2	58
Scaffold_1393	501804	6	0	0	59
Scaffold_111	495621	8	1	0.125	60
Scaffold_197	495257	4	0	0	61
Scaffold_2195	491648	8	0	0	62
Scaffold_2079	490622	5	0	0	63
Scaffold_791	488228	4	0	0	64
Scaffold_67	488070	2	0	0	65
Scaffold_424	483470	6	0	0	66
Scaffold_135	481129	3	1	0.333333333333333	67
Scaffold_122	478834	9	0	0	68
Scaffold_649	474352	3	0	0	69
Scaffold_12	471000	1	0	0	70
Scaffold_1250	470089	3	0	0	71
Scaffold_28	464076	2	0	0	72
Scaffold_295	462061	9	1	0.111111111111111	73
Scaffold_2033	460770	7	1	0.142857142857143	74
Scaffold_327	454595	3	0	0	75
Scaffold_175	447615	4	0	0	76
Scaffold_1012	444982	8	0	0	77
Scaffold_2295	444192	2	0	0	78
Scaffold_2013	439668	5	1	0.2	79
Scaffold_294	434892	6	0	0	80
Scaffold_2183	434067	5	0	0	81
Scaffold_2253	430968	8	0	0	82
Scaffold_405	430915	5	0	0	83
Scaffold_1316	429029	6	1	0.166666666666667	84
Scaffold_107	427604	14	0	0	85
Scaffold_2145	426607	2	0	0	86
Scaffold_2125	425629	6	1	0.166666666666667	87
Scaffold_61	417906	7	0	0	88
Scaffold_216	417690	3	0	0	89
Scaffold_534	412288	13	0	0	90
Scaffold_2107	411606	11	1	0.0909090909090909	91
Scaffold_2088	410308	9	1	0.111111111111111	92
Scaffold_240	408148	7	0	0	93
Scaffold_435	407290	9	1	0.111111111111111	94
Scaffold_325	406694	1	0	0	95
Scaffold_881	406166	9	1	0.111111111111111	96
Scaffold_2220	406116	4	0	0	97
Scaffold_2230	405348	16	0	0	98
Scaffold_322	404758	9	0	0	99
Scaffold_2099	404402	3	0	0	100
Scaffold_1361	403104	5	0	0	101
Scaffold_2161	402231	10	0	0	102
Scaffold_177	401296	11	0	0	103
Scaffold_1349	399453	4	0	0	104
Scaffold_156	394060	9	1	0.111111111111111	105
Scaffold_427	393729	3	0	0	106
Scaffold_448	393519	2	1	0.5	107
Scaffold_160	392655	3	1	0.333333333333333	108
Scaffold_2150	391507	9	1	0.111111111111111	109
Scaffold_27	389301	8	0	0	110
Scaffold_2186	388913	4	0	0	111
Scaffold_2159	388032	4	0	0	112
Scaffold_528	386067	5	1	0.2	113
Scaffold_2193	385719	4	0	0	114
Scaffold_1328	384976	9	1	0.111111111111111	115
Scaffold_2175	383895	2	0	0	116
Scaffold_95	380484	2	0	0	117
Scaffold_215	379015	6	0	0	118
Scaffold_17	377618	5	1	0.2	119
Scaffold_2074	376627	6	0	0	120
Scaffold_2130	373331	8	0	0	121
Scaffold_146	372449	7	0	0	122
Scaffold_544	372302	4	0	0	123
Scaffold_2085	372237	5	1	0.2	124
Scaffold_706	365717	7	0	0	125
Scaffold_115	362397	7	0	0	126
Scaffold_586	361661	6	0	0	127
Scaffold_2063	359653	6	0	0	128
Scaffold_2189	358906	3	0	0	129
Scaffold_671	357519	7	0	0	130
Scaffold_51	356631	12	0	0	131
Scaffold_2241	354301	9	0	0	132
Scaffold_682	354004	2	0	0	133
Scaffold_539	353635	6	0	0	134
Scaffold_2084	353511	7	0	0	135
Scaffold_2307	352672	4	0	0	136
Scaffold_2035	352499	2	0	0	137
Scaffold_458	352215	13	1	0.0769230769230769	138
Scaffold_311	351486	3	0	0	139
Scaffold_2020	348198	1	0	0	140
Scaffold_2184	347218	5	0	0	141
Scaffold_812	346674	2	0	0	142
Scaffold_2102	346529	4	0	0	143
Scaffold_597	345042	1	0	0	144
Scaffold_218	344345	5	0	0	145
Scaffold_2113	343592	5	0	0	146
Scaffold_2213	342861	4	0	0	147
Scaffold_141	342421	6	0	0	148
Scaffold_2071	342354	5	0	0	149
Scaffold_2016	341971	10	0	0	150
Scaffold_10	340656	1	0	0	151
Scaffold_853	340226	1	0	0	152
Scaffold_214	338563	2	0	0	153
Scaffold_185	337701	1	0	0	154
Scaffold_2167	337533	2	0	0	155
Scaffold_2131	337523	1	0	0	156
Scaffold_56	336384	4	1	0.25	157
Scaffold_1132	334932	6	1	0.166666666666667	158
Scaffold_2163	334653	3	0	0	159
Scaffold_1599	333486	5	0	0	160
Scaffold_7	332623	14	0	0	161
Scaffold_2290	331869	3	0	0	162
Scaffold_2236	331663	5	1	0.2	163
Scaffold_2273	329430	2	0	0	164
Scaffold_865	327924	2	0	0	165
Scaffold_983	327841	8	0	0	166
Scaffold_2097	327596	4	0	0	167
Scaffold_2299	327374	5	0	0	168
Scaffold_2086	326433	8	1	0.125	169
Scaffold_79	326373	2	0	0	170
Scaffold_833	325551	2	0	0	171
Scaffold_418	325308	11	0	0	172
Scaffold_2094	325125	4	0	0	173
Scaffold_2056	324322	1	0	0	174
Scaffold_377	322388	3	1	0.333333333333333	175
Scaffold_96	321952	2	1	0.5	176
Scaffold_2078	321281	5	0	0	177
Scaffold_144	321133	4	2	0.5	178
Scaffold_2117	321060	2	1	0.5	179
Scaffold_2027	320329	1	1	1	180
Scaffold_154	320280	2	0	0	181
Scaffold_2297	319947	6	0	0	182
Scaffold_997	319772	3	0	0	183
Scaffold_168	319517	2	0	0	184
Scaffold_2141	318313	6	0	0	185
Scaffold_2106	318216	8	0	0	186
Scaffold_2223	318082	7	0	0	187
Scaffold_1045	317999	4	0	0	188
Scaffold_600	317950	6	1	0.166666666666667	189
Scaffold_2166	317429	5	1	0.2	190
Scaffold_2288	315945	3	0	0	191
Scaffold_423	315648	3	0	0	192
Scaffold_40	315348	8	1	0.125	193
Scaffold_1370	314553	5	0	0	194
Scaffold_14	313973	2	0	0	195
Scaffold_1564	312912	2	0	0	196
Scaffold_369	312315	2	0	0	197
Scaffold_124	312258	6	1	0.166666666666667	198
Scaffold_2291	312086	1	0	0	199
Scaffold_2034	311968	3	0	0	200
Scaffold_2059	311290	4	0	0	201
Scaffold_632	309858	2	0	0	202
Scaffold_1375	309473	2	0	0	203
Scaffold_1629	308937	3	0	0	204
Scaffold_615	307783	7	0	0	205
Scaffold_167	307242	2	0	0	206
Scaffold_467	306467	1	0	0	207
Scaffold_751	306439	1	0	0	208
Scaffold_84	305676	6	0	0	209
Scaffold_153	304178	2	0	0	210
Scaffold_2050	302442	4	0	0	211
Scaffold_5	302301	2	0	0	212
Scaffold_37	302216	3	1	0.333333333333333	213
Scaffold_104	301794	3	0	0	214
Scaffold_285	301614	2	0	0	215
Scaffold_754	300489	2	0	0	216
Scaffold_249	300041	4	1	0.25	217
Scaffold_2218	299966	6	0	0	218
Scaffold_2237	299745	3	0	0	219
Scaffold_57	299057	2	0	0	220
Scaffold_432	295496	7	0	0	221
Scaffold_244	294579	2	0	0	222
Scaffold_2072	293592	7	0	0	223
Scaffold_2256	292978	3	0	0	224
Scaffold_2247	292500	3	2	0.666666666666667	225
Scaffold_356	292355	3	0	0	226
Scaffold_583	292094	4	1	0.25	227
Scaffold_1097	291648	6	1	0.166666666666667	228
Scaffold_775	291311	8	2	0.25	229
Scaffold_2116	291297	1	0	0	230
Scaffold_195	290521	4	1	0.25	231
Scaffold_2173	290235	7	0	0	232
Scaffold_206	290225	2	0	0	233
Scaffold_309	289306	1	0	0	234
Scaffold_2249	289149	4	0	0	235
Scaffold_13	288973	7	0	0	236
Scaffold_6	288461	1	0	0	237
Scaffold_345	287541	4	0	0	238
Scaffold_1364	286571	2	1	0.5	239
Scaffold_36	284842	7	0	0	240
Scaffold_494	283220	2	1	0.5	241
Scaffold_1161	282903	2	0	0	242
Scaffold_9	282734	6	0	0	243
Scaffold_2087	282577	5	0	0	244
Scaffold_2043	281360	1	0	0	245
Scaffold_2031	281143	3	0	0	246
Scaffold_314	281142	5	0	0	247
Scaffold_2227	280520	4	0	0	248
Scaffold_2077	279226	6	0	0	249
Scaffold_2115	278980	2	0	0	250
Scaffold_2108	278939	5	0	0	251
Scaffold_2252	277861	2	0	0	252
Scaffold_181	277689	1	0	0	253
Scaffold_2270	277500	4	0	0	254
Scaffold_653	277098	1	0	0	255
Scaffold_1428	277032	7	0	0	256
Scaffold_2279	276966	6	0	0	257
Scaffold_2080	276780	2	1	0.5	258
Scaffold_614	273916	3	1	0.333333333333333	259
Scaffold_1669	273651	3	1	0.333333333333333	260
Scaffold_719	273337	3	1	0.333333333333333	261
Scaffold_1620	273019	3	0	0	262
Scaffold_2089	272987	6	0	0	263
Scaffold_1830	272986	3	0	0	264
Scaffold_402	272715	3	0	0	265
Scaffold_201	271834	1	0	0	266
Scaffold_422	271785	1	0	0	267
Scaffold_21	270685	3	0	0	268
Scaffold_2202	269310	5	0	0	269
Scaffold_2251	267735	10	0	0	270
Scaffold_2305	267462	2	0	0	271
Scaffold_365	267369	4	0	0	272
Scaffold_513	267166	2	0	0	273
Scaffold_85	267024	2	0	0	274
Scaffold_73	266857	1	0	0	275
Scaffold_118	266727	3	0	0	276
Scaffold_82	266122	3	0	0	277
Scaffold_1028	265813	7	0	0	278
Scaffold_2066	264909	4	1	0.25	279
Scaffold_2181	264432	4	1	0.25	280
Scaffold_2007	261621	8	0	0	281
Scaffold_787	260539	2	0	0	282
Scaffold_1095	259149	4	0	0	283
Scaffold_19	258407	2	0	0	284
Scaffold_2266	256541	4	0	0	285
Scaffold_2153	254769	1	0	0	286
Scaffold_2200	253037	6	0	0	287
Scaffold_601	252372	5	0	0	288
Scaffold_2264	252331	4	0	0	289
Scaffold_1433	251611	3	0	0	290
Scaffold_32	251073	1	0	0	291
Scaffold_2151	250475	4	0	0	292
Scaffold_2070	249882	2	0	0	293
Scaffold_228	249846	8	0	0	294
Scaffold_2248	249304	1	0	0	295
Scaffold_2076	249163	2	0	0	296
Scaffold_2064	248439	5	1	0.2	297
Scaffold_366	248298	2	0	0	298
Scaffold_264	247736	2	1	0.5	299
Scaffold_2263	247114	2	0	0	300
Scaffold_2298	246272	2	0	0	301
Scaffold_1082	245323	1	0	0	302
Scaffold_462	244616	2	0	0	303
Scaffold_31	243853	1	0	0	304
Scaffold_72	243514	7	0	0	305
Scaffold_478	242513	2	0	0	306
Scaffold_270	242364	3	0	0	307
Scaffold_2257	241595	3	0	0	308
Scaffold_169	240628	3	0	0	309
Scaffold_43	239534	1	0	0	310
Scaffold_2260	239308	5	0	0	311
Scaffold_2158	239282	3	0	0	312
Scaffold_367	239200	3	0	0	313
Scaffold_421	239166	3	0	0	314
Scaffold_1638	236505	3	0	0	315
Scaffold_1444	236492	5	0	0	316
Scaffold_2206	236359	8	0	0	317
Scaffold_2075	235630	4	0	0	318
Scaffold_316	235608	4	0	0	319
Scaffold_354	235322	2	0	0	320
Scaffold_1581	234365	1	0	0	321
Scaffold_1152	233918	1	0	0	322
Scaffold_1225	233174	3	0	0	323
Scaffold_2010	232147	3	0	0	324
Scaffold_846	231650	1	0	0	325
Scaffold_48	231257	3	0	0	326
Scaffold_2293	229625	3	0	0	327
Scaffold_35	229154	5	0	0	328
Scaffold_1730	228414	2	0	0	329
Scaffold_2114	228336	2	0	0	330
Scaffold_1734	227436	5	1	0.2	331
Scaffold_52	227019	1	0	0	332
Scaffold_2018	226986	2	0	0	333
Scaffold_152	225926	2	0	0	334
Scaffold_780	225177	4	0	0	335
Scaffold_38	224789	6	0	0	336
Scaffold_2268	224652	4	0	0	337
Scaffold_1098	223279	4	0	0	338
Scaffold_1818	222946	1	0	0	339
Scaffold_2124	222469	1	0	0	340
Scaffold_70	222399	2	0	0	341
Scaffold_2191	222029	1	0	0	342
Scaffold_2042	221936	2	0	0	343
Scaffold_2208	221767	2	0	0	344
Scaffold_75	221734	2	0	0	345
Scaffold_2082	220837	2	0	0	346
Scaffold_11	220812	1	0	0	347
Scaffold_2142	220802	2	0	0	348
Scaffold_2005	220727	1	0	0	349
Scaffold_2100	220705	7	0	0	350
Scaffold_2254	218155	2	1	0.5	351
Scaffold_229	217832	2	0	0	352
Scaffold_2235	217156	2	0	0	353
Scaffold_2040	215821	1	0	0	354
Scaffold_2216	215783	5	0	0	355
Scaffold_217	215166	4	0	0	356
Scaffold_202	215157	3	0	0	357
Scaffold_1026	215044	1	1	1	358
Scaffold_624	214302	2	0	0	359
Scaffold_2029	213773	4	0	0	360
Scaffold_2046	212992	4	1	0.25	361
Scaffold_628	212893	3	0	0	362
Scaffold_568	212383	4	0	0	363
Scaffold_492	212104	3	0	0	364
Scaffold_498	211830	3	0	0	365
Scaffold_16	211702	4	0	0	366
Scaffold_401	211700	1	0	0	367
Scaffold_267	211193	3	0	0	368
Scaffold_2045	210671	6	0	0	369
Scaffold_805	210611	10	0	0	370
Scaffold_18	209919	1	0	0	371
Scaffold_2149	209564	2	0	0	372
Scaffold_286	209072	9	0	0	373
Scaffold_940	208429	5	0	0	374
Scaffold_460	208088	2	0	0	375
Scaffold_674	207807	1	0	0	376
Scaffold_399	207772	3	0	0	377
Scaffold_2224	207148	6	0	0	378
Scaffold_2246	206969	2	0	0	379
Scaffold_2196	206424	2	1	0.5	380
Scaffold_2277	206403	4	0	0	381
Scaffold_2011	206371	2	0	0	382
Scaffold_667	206361	4	0	0	383
Scaffold_2229	206212	3	0	0	384
Scaffold_967	205306	2	0	0	385
Scaffold_20	205304	4	0	0	386
