chrom	start_window	end_window	DE_counts	proportion
1	Tfas_chr1	1	1e+06	2	0.0163934426229508
2	Tfas_chr1	1000001	2e+06	6	0.0625
3	Tfas_chr1	2000001	3e+06	1	0.0102040816326531
4	Tfas_chr1	3000001	4e+06	0	0
5	Tfas_chr1	4000001	5e+06	1	0.0135135135135135
6	Tfas_chr1	5000001	6e+06	2	0.0338983050847458
7	Tfas_chr1	6000001	7e+06	0	0
8	Tfas_chr1	7000001	8e+06	1	0.0256410256410256
9	Tfas_chr1	8000001	9e+06	0	0
10	Tfas_chr1	9000001	1e+07	1	0.0714285714285714
11	Tfas_chr1	10000001	1.1e+07	0	0
12	Tfas_chr1	11000001	1.2e+07	1	0.125
13	Tfas_chr1	12000001	1.3e+07	0	0
14	Tfas_chr1	13000001	1.4e+07	0	0
15	Tfas_chr1	14000001	1.5e+07	2	0.25
16	Tfas_chr1	15000001	1.6e+07	0	0
17	Tfas_chr1	16000001	1.7e+07	0	0
18	Tfas_chr1	17000001	1.8e+07	1	0.111111111111111
19	Tfas_chr1	18000001	1.9e+07	0	0
20	Tfas_chr1	19000001	2e+07	0	0
21	Tfas_chr1	20000001	2.1e+07	2	0.133333333333333
22	Tfas_chr1	21000001	2.2e+07	0	0
23	Tfas_chr1	22000001	2.3e+07	0	0
24	Tfas_chr1	23000001	2.4e+07	1	0.1
25	Tfas_chr1	24000001	2.5e+07	0	0
26	Tfas_chr1	25000001	2.6e+07	1	0.032258064516129
27	Tfas_chr1	26000001	2.7e+07	2	0.117647058823529
28	Tfas_chr1	27000001	2.8e+07	3	0.0652173913043478
29	Tfas_chr1	28000001	2.9e+07	2	0.0273972602739726
30	Tfas_chr1	29000001	3e+07	1	0.0087719298245614
31	Tfas_chr1	30000001	3.1e+07	2	0.0169491525423729
32	Tfas_chr1	31000001	3.2e+07	3	0.0245901639344262
33	Tfas_chr1	32000001	3.3e+07	1	0.0714285714285714
34	Tfas_chr2	1	1e+06	3	0.04
35	Tfas_chr2	1000001	2e+06	2	0.0256410256410256
36	Tfas_chr2	2000001	3e+06	4	0.0476190476190476
37	Tfas_chr2	3000001	4e+06	1	0.010989010989011
38	Tfas_chr2	4000001	5e+06	6	0.0560747663551402
39	Tfas_chr2	5000001	6e+06	5	0.0471698113207547
40	Tfas_chr2	6000001	7e+06	1	0.0147058823529412
41	Tfas_chr2	7000001	8e+06	3	0.0638297872340425
42	Tfas_chr2	8000001	9e+06	1	0.0208333333333333
43	Tfas_chr2	9000001	1e+07	1	0.04
44	Tfas_chr2	10000001	1.1e+07	0	0
45	Tfas_chr2	11000001	1.2e+07	1	0.0454545454545455
46	Tfas_chr2	12000001	1.3e+07	0	0
47	Tfas_chr2	13000001	1.4e+07	0	0
48	Tfas_chr2	14000001	1.5e+07	0	0
49	Tfas_chr2	15000001	1.6e+07	0	0
50	Tfas_chr2	16000001	1.7e+07	0	0
51	Tfas_chr2	17000001	1.8e+07	0	0
52	Tfas_chr2	18000001	1.9e+07	0	0
53	Tfas_chr2	19000001	2e+07	0	0
54	Tfas_chr2	20000001	2.1e+07	1	0.111111111111111
55	Tfas_chr2	21000001	2.2e+07	0	0
56	Tfas_chr2	22000001	2.3e+07	0	0
57	Tfas_chr2	23000001	2.4e+07	0	0
58	Tfas_chr2	24000001	2.5e+07	1	0.0625
