Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0009684	indoleacetic acid biosynthetic process	0.0042	OG0015144	Tfasc_v1.02866
BP	GO:1903457	lactate catabolic process	0.0042	OG0003070	Tfasc_v1.04355
BP	GO:0019877	diaminopimelate biosynthetic process	0.0042	OG0002724	Tfasc_v1.26205
BP	GO:0019252	starch biosynthetic process	0.0045	OG0001290, OG0003860	Tfasc_v1.05762, Tfasc_v1.07880
BP	GO:0090071	negative regulation of ribosome biogenesis	0.0084	OG0012894	Tfasc_v1.09249
BP	GO:0006750	glutathione biosynthetic process	0.0084	OG0014509	Tfasc_v1.12874
BP	GO:0009590	detection of gravity	0.0084	OG0003860	Tfasc_v1.07880
BP	GO:0051085	chaperone cofactor-dependent protein refolding	0.0111	OG0011476, OG0001367	Tfasc_v1.23133, Tfasc_v1.30290
BP	GO:0005980	glycogen catabolic process	0.0126	OG0001290	Tfasc_v1.05762
BP	GO:1901671	positive regulation of superoxide dismutase activity	0.0126	OG0011476	Tfasc_v1.23133
BP	GO:0032955	regulation of division septum assembly	0.0126	OG0004066	Tfasc_v1.12076
BP	GO:0045038	protein import into chloroplast thylakoid membrane	0.0126	OG0012615	Tfasc_v1.01903
BP	GO:0070208	protein heterotrimerization	0.0126	OG0012615	Tfasc_v1.01903
BP	GO:0071277	cellular response to calcium ion	0.0167	OG0003240	Tfasc_v1.09038
BP	GO:0010104	regulation of ethylene-activated signaling pathway	0.0167	OG0013479	Tfasc_v1.11684
BP	GO:0016444	somatic cell DNA recombination	0.0167	OG0000751	Tfasc_v1.23989
BP	GO:0043489	RNA stabilization	0.0167	OG0008783	Tfasc_v1.24028
BP	GO:0046506	sulfolipid biosynthetic process	0.0167	OG0009120	Tfasc_v1.29686
BP	GO:0009851	auxin biosynthetic process	0.0205	OG0015144, OG0011090	Tfasc_v1.02866, Tfasc_v1.02868
BP	GO:0006565	L-serine catabolic process	0.0209	OG0011152	Tfasc_v1.19373
BP	GO:0019264	glycine biosynthetic process from serine	0.0209	OG0011152	Tfasc_v1.19373
BP	GO:1904482	cellular response to tetrahydrofolate	0.0209	OG0011152	Tfasc_v1.19373
BP	GO:0015979	photosynthesis	0.0227	OG0001269, OG0015443, OG0009367	Tfasc_v1.00232, Tfasc_v1.25888, Tfasc_v1.30088
BP	GO:0002221	pattern recognition receptor signaling pathway	0.025	OG0003704	Tfasc_v1.22595
BP	GO:0032544	plastid translation	0.025	OG0008783	Tfasc_v1.24028
BP	GO:1900424	regulation of defense response to bacterium	0.0291	OG0003704	Tfasc_v1.22595
BP	GO:0001682	tRNA 5'-leader removal	0.0291	OG0007960	Tfasc_v1.14966
BP	GO:0010196	nonphotochemical quenching	0.0291	OG0008783	Tfasc_v1.24028
BP	GO:0009660	amyloplast organization	0.0332	OG0001290	Tfasc_v1.05762
BP	GO:0009704	de-etiolation	0.0332	OG0003240	Tfasc_v1.09038
BP	GO:0046655	folic acid metabolic process	0.0332	OG0011152	Tfasc_v1.19373
BP	GO:0006353	DNA-templated transcription, termination	0.0373	OG0008667	Tfasc_v1.04713
BP	GO:0006011	UDP-glucose metabolic process	0.0373	OG0009120	Tfasc_v1.29686
BP	GO:0005982	starch metabolic process	0.04	OG0001290, OG0003860, OG0005779	Tfasc_v1.05762, Tfasc_v1.07880, Tfasc_v1.14032
BP	GO:0071483	cellular response to blue light	0.0414	OG0003822	Tfasc_v1.03043
BP	GO:0051716	cellular response to stimulus	0.0443	OG0003822, OG0003240, OG0013479, OG0002101, OG0011152, OG0003704, OG0000751, OG0018125, OG0001367	Tfasc_v1.03043, Tfasc_v1.09038, Tfasc_v1.11684, Tfasc_v1.13229, Tfasc_v1.19373, Tfasc_v1.22595, Tfasc_v1.23989, Tfasc_v1.24489, Tfasc_v1.30290
BP	GO:1901259	chloroplast rRNA processing	0.0454	OG0007822	Tfasc_v1.20391
BP	GO:0090333	regulation of stomatal closure	0.0454	OG0003240	Tfasc_v1.09038
BP	GO:0035999	tetrahydrofolate interconversion	0.0454	OG0011152	Tfasc_v1.19373
BP	GO:0009607	response to biotic stimulus	0.0485	OG0002101, OG0015832, OG0003704	Tfasc_v1.13229, Tfasc_v1.18562, Tfasc_v1.22595
MF	GO:0043864	indoleacetamide hydrolase activity	1.3e-05	OG0015144, OG0011090	Tfasc_v1.02866, Tfasc_v1.02868
MF	GO:0004040	amidase activity	2e-04	OG0015144, OG0011090	Tfasc_v1.02866, Tfasc_v1.02868
MF	GO:0043295	glutathione binding	0.0012	OG0016306, OG0014509	Tfasc_v1.06786, Tfasc_v1.12874
MF	GO:0042803	protein homodimerization activity	0.0018	OG0005232, OG0014509, OG0006781	Tfasc_v1.10348, Tfasc_v1.12874, Tfasc_v1.27881
MF	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	0.0037	OG0003070	Tfasc_v1.04355
