gene_id	chrom	start	end
Tfasc_v1.03365-RA	Tfas_chr3	184619	190310
Tfasc_v1.03377-RA	Tfas_chr3	300968	303717
Tfasc_v1.03457-RA	Tfas_chr3	1090478	1091484
Tfasc_v1.03489-RA	Tfas_chr3	1268406	1273678
Tfasc_v1.03499-RA	Tfas_chr3	1352128	1357564
Tfasc_v1.03613-RA	Tfas_chr3	2176570	2179636
Tfasc_v1.03602-RA	Tfas_chr3	2137711	2141314
Tfasc_v1.03612-RA	Tfas_chr3	2175860	2176500
Tfasc_v1.03599-RA	Tfas_chr3	2115909	2119557
Tfasc_v1.03748-RA	Tfas_chr3	3865925	3866743
Tfasc_v1.03774-RA	Tfas_chr3	4144622	4147452
Tfasc_v1.03788-RA	Tfas_chr3	4413251	4423593
Tfasc_v1.03863-RA	Tfas_chr3	7440781	7442107
Tfasc_v1.03880-RA	Tfas_chr3	8087571	8088551
Tfasc_v1.03900-RA	Tfas_chr3	8740560	8753973
Tfasc_v1.03907-RA	Tfas_chr3	8985298	8987992
Tfasc_v1.03916-RA	Tfas_chr3	9667212	9671275
Tfasc_v1.03915-RA	Tfas_chr3	9642080	9642484
Tfasc_v1.03954-RA	Tfas_chr3	11415097	11417495
Tfasc_v1.03967-RA	Tfas_chr3	12033274	12033612
Tfasc_v1.04021-RA	Tfas_chr3	15788756	15790209
Tfasc_v1.04317-RA	Tfas_chr3	26289843	26293167
Tfasc_v1.04343-RA	Tfas_chr3	26489268	26490122
Tfasc_v1.04347-RA	Tfas_chr3	26509653	26512551
Tfasc_v1.04363-RA	Tfas_chr3	26687597	26688363
Tfasc_v1.04378-RA	Tfas_chr3	26795395	26804518
Tfasc_v1.04390-RA	Tfas_chr3	26951158	26952917
Tfasc_v1.04386-RA	Tfas_chr3	26915288	26918826
Tfasc_v1.04391-RA	Tfas_chr3	26954009	26955874
Tfasc_v1.04395-RA	Tfas_chr3	26968402	26972312
Tfasc_v1.04452-RA	Tfas_chr3	27516205	27517511
Tfasc_v1.04456-RA	Tfas_chr3	27542117	27552684
Tfasc_v1.04514-RA	Tfas_chr3	28125961	28133198
Tfasc_v1.04605-RA	Tfas_chr3	28819399	28821914
Tfasc_v1.04615-RA	Tfas_chr3	28894988	28896236
Tfasc_v1.04652-RA	Tfas_chr3	29174458	29179386
Tfasc_v1.04654-RA	Tfas_chr3	29189125	29197753
Tfasc_v1.04663-RA	Tfas_chr3	29248185	29253613
Tfasc_v1.04662-RA	Tfas_chr3	29237784	29246784
Tfasc_v1.04767-RA	Tfas_chr3	30083121	30084115
Tfasc_v1.04825-RA	Tfas_chr3	30761946	30774206
Tfasc_v1.04836-RA	Tfas_chr3	30999725	31021738
Tfasc_v1.04834-RA	Tfas_chr3	30948039	30971665
Tfasc_v1.09291-RA	Tfas_chr7	181862	186796
Tfasc_v1.09380-RA	Tfas_chr7	750437	766218
Tfasc_v1.09378-RA	Tfas_chr7	738418	743160
Tfasc_v1.09441-RA	Tfas_chr7	1194087	1203630
Tfasc_v1.09454-RA	Tfas_chr7	1289855	1295730
Tfasc_v1.09538-RA	Tfas_chr7	1947903	1949351
Tfasc_v1.09607-RA	Tfas_chr7	2497219	2498856
Tfasc_v1.09668-RA	Tfas_chr7	3206512	3208729
Tfasc_v1.09728-RA	Tfas_chr7	3903805	3907220
Tfasc_v1.09772-RA	Tfas_chr7	4410460	4414627
Tfasc_v1.09797-RA	Tfas_chr7	4739586	4740636
Tfasc_v1.09896-RA	Tfas_chr7	7597388	7597730
Tfasc_v1.09895-RA	Tfas_chr7	7577129	7578647
Tfasc_v1.09897-RA	Tfas_chr7	7599162	7601362
Tfasc_v1.09969-RA	Tfas_chr7	9494669	9538189
Tfasc_v1.09970-RB	Tfas_chr7	9558595	9584232
Tfasc_v1.10560-RA	Tfas_chr7	23831018	23831949
Tfasc_v1.10676-RA	Tfas_chr7	26108903	26109643
Tfasc_v1.10675-RA	Tfas_chr7	26107030	26108751
Tfasc_v1.10681-RA	Tfas_chr7	26198015	26211659
Tfasc_v1.10686-RA	Tfas_chr7	26336853	26337797
Tfasc_v1.10731-RB	Tfas_chr7	26890505	26903211
Tfasc_v1.23972-RA	Tfas_chr19	463173	464510
Tfasc_v1.23963-RA	Tfas_chr19	409386	414593
Tfasc_v1.24086-RA	Tfas_chr19	1318843	1324484
Tfasc_v1.24213-RA	Tfas_chr19	2306354	2308727
Tfasc_v1.24216-RA	Tfas_chr19	2341945	2343874
Tfasc_v1.24231-RA	Tfas_chr19	2458706	2461443
Tfasc_v1.24279-RA	Tfas_chr19	2904573	2905688
Tfasc_v1.24331-RA	Tfas_chr19	3344991	3351651
Tfasc_v1.24387-RA	Tfas_chr19	4087384	4096288
Tfasc_v1.24424-RA	Tfas_chr19	4677938	4685319
Tfasc_v1.24425-RA	Tfas_chr19	4693380	4695142
Tfasc_v1.24559-RA	Tfas_chr19	7841547	7841783
Tfasc_v1.24566-RA	Tfas_chr19	7919080	7933307
Tfasc_v1.24609-RA	Tfas_chr19	9529618	9530635
Tfasc_v1.24694-RA	Tfas_chr19	12756927	12757262
Tfasc_v1.24696-RA	Tfas_chr19	12954202	12965291
Tfasc_v1.24776-RA	Tfas_chr19	15142782	15154473
Tfasc_v1.24783-RA	Tfas_chr19	15232954	15234717
Tfasc_v1.24843-RA	Tfas_chr19	17058718	17064367
Tfasc_v1.24844-RA	Tfas_chr19	17069325	17069744
Tfasc_v1.24846-RA	Tfas_chr19	17181766	17197756
Tfasc_v1.24856-RA	Tfas_chr19	17412642	17413721
Tfasc_v1.24882-RA	Tfas_chr19	18030044	18034676
Tfasc_v1.21840-RA	Tfas_chr17	6099786	6106716
Tfasc_v1.21912-RA	Tfas_chr17	8707098	8710746
Tfasc_v1.21917-RA	Tfas_chr17	8757702	8759978
Tfasc_v1.21946-RA	Tfas_chr17	9326703	9329314
Tfasc_v1.21967-RA	Tfas_chr17	9708729	9718958
Tfasc_v1.22050-RA	Tfas_chr17	11432200	11433763
Tfasc_v1.22245-RA	Tfas_chr17	16701283	16706914
