Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006952	defense response	1e-30	OG0000204, OG0000085, OG0000094, OG0005474, OG0016420	Tfasc_v1.03152-RA, Tfasc_v1.03157-RA, Tfasc_v1.03158-RA, Tfasc_v1.03159-RA, Tfasc_v1.03161-RA, Tfasc_v1.03163-RA, Tfasc_v1.03164-RA, Tfasc_v1.03165-RA, Tfasc_v1.03169-RA, Tfasc_v1.03175-RA, Tfasc_v1.03176-RA, Tfasc_v1.03178-RA, Tfasc_v1.03179-RA, Tfasc_v1.03181-RA, Tfasc_v1.03182-RA, Tfasc_v1.03185-RA, Tfasc_v1.03188-RA, Tfasc_v1.10378-RA, Tfasc_v1.10405-RA, Tfasc_v1.10415-RA, Tfasc_v1.10419-RA, Tfasc_v1.10422-RA, Tfasc_v1.10424-RA, Tfasc_v1.10427-RA, Tfasc_v1.10429-RA, Tfasc_v1.10435-RB, Tfasc_v1.10449-RA, Tfasc_v1.10451-RA, Tfasc_v1.10454-RA, Tfasc_v1.10457-RA, Tfasc_v1.10461-RA, Tfasc_v1.10465-RA, Tfasc_v1.10471-RA, Tfasc_v1.10481-RA, Tfasc_v1.10487-RA, Tfasc_v1.10495-RA, Tfasc_v1.10500-RA, Tfasc_v1.10503-RA, Tfasc_v1.10505-RA, Tfasc_v1.10507-RA, Tfasc_v1.10509-RA, Tfasc_v1.10517-RA, Tfasc_v1.10527-RA, Tfasc_v1.10529-RA, Tfasc_v1.10546-RA, Tlei_v1.03811-RA, Tlei_v1.10754-RA, Tlei_v1.25035-RA, Tlei_v1.25040-RA, Tlei_v1.25093-RA, Tlei_v1.25098-RA
BP	GO:2000300	regulation of synaptic vesicle exocytosis	1e-30	OG0000153	Tfasc_v1.00626-RA, Tfasc_v1.00933-RA, Tfasc_v1.00963-RA, Tfasc_v1.00965-RA, Tfasc_v1.10242-RA, Tfasc_v1.13239-RA, Tfasc_v1.13502-RA, Tfasc_v1.13606-RA, Tfasc_v1.15591-RA, Tfasc_v1.18879-RA, Tfasc_v1.19278-RA, Tfasc_v1.21739-RA, Tfasc_v1.23873-RA, Tfasc_v1.25592-RA, Tfasc_v1.26311-RA, Tfasc_v1.29136-RA, Tfasc_v1.30444-RA, Tlei_v1.18403-RA
BP	GO:0007040	lysosome organization	1e-30	OG0000153	Tfasc_v1.00626-RA, Tfasc_v1.00933-RA, Tfasc_v1.00963-RA, Tfasc_v1.00965-RA, Tfasc_v1.10242-RA, Tfasc_v1.13239-RA, Tfasc_v1.13502-RA, Tfasc_v1.13606-RA, Tfasc_v1.15591-RA, Tfasc_v1.18879-RA, Tfasc_v1.19278-RA, Tfasc_v1.21739-RA, Tfasc_v1.23873-RA, Tfasc_v1.25592-RA, Tfasc_v1.26311-RA, Tfasc_v1.29136-RA, Tfasc_v1.30444-RA, Tlei_v1.18403-RA
BP	GO:0032418	lysosome localization	1e-30	OG0000153	Tfasc_v1.00626-RA, Tfasc_v1.00933-RA, Tfasc_v1.00963-RA, Tfasc_v1.00965-RA, Tfasc_v1.10242-RA, Tfasc_v1.13239-RA, Tfasc_v1.13502-RA, Tfasc_v1.13606-RA, Tfasc_v1.15591-RA, Tfasc_v1.18879-RA, Tfasc_v1.19278-RA, Tfasc_v1.21739-RA, Tfasc_v1.23873-RA, Tfasc_v1.25592-RA, Tfasc_v1.26311-RA, Tfasc_v1.29136-RA, Tfasc_v1.30444-RA, Tlei_v1.18403-RA
BP	GO:0008333	endosome to lysosome transport	1e-30	OG0000153	Tfasc_v1.00626-RA, Tfasc_v1.00933-RA, Tfasc_v1.00963-RA, Tfasc_v1.00965-RA, Tfasc_v1.10242-RA, Tfasc_v1.13239-RA, Tfasc_v1.13502-RA, Tfasc_v1.13606-RA, Tfasc_v1.15591-RA, Tfasc_v1.18879-RA, Tfasc_v1.19278-RA, Tfasc_v1.21739-RA, Tfasc_v1.23873-RA, Tfasc_v1.25592-RA, Tfasc_v1.26311-RA, Tfasc_v1.29136-RA, Tfasc_v1.30444-RA, Tlei_v1.18403-RA
BP	GO:0015919	peroxisomal membrane transport	5.2e-13	OG0000531, OG0000018, OG0000525	Tfasc_v1.07915-RA, Tfasc_v1.10193-RA, Tfasc_v1.13555-RA, Tfasc_v1.13556-RA, Tfasc_v1.16730-RA, Tfasc_v1.24714-RA, Tfasc_v1.24715-RA, Tlei_v1.07630-RA, Tlei_v1.26052-RA, Tlei_v1.26055-RA
BP	GO:0006654	phosphatidic acid biosynthetic process	2e-12	OG0000463	Tfasc_v1.00362-RA, Tfasc_v1.03886-RA, Tfasc_v1.10030-RB, Tfasc_v1.10063-RA, Tfasc_v1.27252-RA, Tfasc_v1.27256-RA, Tfasc_v1.28461-RA, Tfasc_v1.29038-RA, Tlei_v1.07145-RA
BP	GO:0048017	inositol lipid-mediated signaling	1.5e-11	OG0000463	Tfasc_v1.00362-RA, Tfasc_v1.03886-RA, Tfasc_v1.10030-RB, Tfasc_v1.10063-RA, Tfasc_v1.27252-RA, Tfasc_v1.27256-RA, Tfasc_v1.28461-RA, Tfasc_v1.29038-RA, Tlei_v1.07145-RA
BP	GO:0007062	sister chromatid cohesion	4.3e-11	OG0000467, OG0000084, OG0000468	Tfasc_v1.05220-RA, Tfasc_v1.07156-RA, Tfasc_v1.19138-RA, Tfasc_v1.24562-RB, Tfasc_v1.25868-RA, Tfasc_v1.25873-RA, Tfasc_v1.25879-RA, Tfasc_v1.25880-RA, Tfasc_v1.27019-RA, Tfasc_v1.27024-RA, Tfasc_v1.27025-RA, Tfasc_v1.27026-RA, Tfasc_v1.27028-RA, Tfasc_v1.27029-RA, Tlei_v1.22812-RA
BP	GO:0006508	proteolysis	5.7e-11	OG0000042, OG0001795, OG0000392, OG0000467, OG0000084, OG0000018, OG0016420, OG0000681	Tfasc_v1.00387-RA, Tfasc_v1.00948-RA, Tfasc_v1.03030-RA, Tfasc_v1.04935-RA, Tfasc_v1.05160-RA, Tfasc_v1.05454-RA, Tfasc_v1.05623-RA, Tfasc_v1.07906-RA, Tfasc_v1.08197-RA, Tfasc_v1.08264-RA, Tfasc_v1.08281-RA, Tfasc_v1.08715-RA, Tfasc_v1.08731-RA, Tfasc_v1.09063-RA, Tfasc_v1.09907-RA, Tfasc_v1.09910-RA, Tfasc_v1.10358-RA, Tfasc_v1.12931-RA, Tfasc_v1.13376-RA, Tfasc_v1.15588-RA, Tfasc_v1.17357-RA, Tfasc_v1.17743-RA, Tfasc_v1.17829-RA, Tfasc_v1.17996-RA, Tfasc_v1.20198-RA, Tfasc_v1.20945-RA, Tfasc_v1.21964-RA, Tfasc_v1.22000-RA, Tfasc_v1.22134-RA, Tfasc_v1.23303-RA, Tfasc_v1.23304-RA, Tfasc_v1.23332-RA, Tfasc_v1.24227-RA, Tfasc_v1.25198-RA, Tfasc_v1.25604-RA, Tfasc_v1.26291-RA, Tfasc_v1.27467-RA, Tfasc_v1.27468-RA, Tfasc_v1.28340-RA, Tfasc_v1.30519-RA, Tlei_v1.00644-RA, Tlei_v1.02404-RA, Tlei_v1.10754-RA, Tlei_v1.20383-RA, Tlei_v1.29252-RA
BP	GO:0006355	regulation of transcription, DNA-templated	2.8e-09	OG0000053, OG0000084, OG0000463, OG0001204, OG0000681	Tfasc_v1.00720-RA, Tfasc_v1.02783-RA, Tfasc_v1.02835-RA, Tfasc_v1.03037-RA, Tfasc_v1.03889-RA, Tfasc_v1.04851-RA, Tfasc_v1.06810-RA, Tfasc_v1.07156-RA, Tfasc_v1.07301-RA, Tfasc_v1.07988-RA, Tfasc_v1.08315-RA, Tfasc_v1.08344-RA, Tfasc_v1.08521-RA, Tfasc_v1.08717-RA, Tfasc_v1.08733-RA, Tfasc_v1.09902-RA, Tfasc_v1.09953-RA, Tfasc_v1.09959-RA, Tfasc_v1.10338-RA, Tfasc_v1.10355-RA, Tfasc_v1.10610-RA, Tfasc_v1.11082-RA, Tfasc_v1.11250-RA, Tfasc_v1.11433-RA, Tfasc_v1.12341-RA, Tfasc_v1.12894-RA, Tfasc_v1.12901-RA, Tfasc_v1.13836-RA, Tfasc_v1.16760-RA, Tfasc_v1.16905-RA, Tfasc_v1.17230-RA, Tfasc_v1.17343-RA, Tfasc_v1.17750-RA, Tfasc_v1.19108-RA, Tfasc_v1.19704-RA, Tfasc_v1.19775-RA, Tfasc_v1.20202-RA, Tfasc_v1.20545-RA, Tfasc_v1.21963-RA, Tfasc_v1.23308-RA, Tfasc_v1.23672-RA, Tfasc_v1.23733-RA, Tfasc_v1.23888-RA, Tfasc_v1.25196-RA, Tfasc_v1.25304-RA, Tfasc_v1.25600-RA, Tfasc_v1.26288-RA, Tfasc_v1.27132-RA, Tfasc_v1.29072-RA, Tfasc_v1.30393-RA, Tfasc_v1.30502-RA, Tfasc_v1.30505-RA, Tlei_v1.15005-RA, Tlei_v1.30723-RA
BP	GO:0006096	glycolytic process	2.3e-07	OG0000469, OG0000555	Tfasc_v1.00625-RA, Tfasc_v1.05290-RA, Tfasc_v1.07209-RA, Tfasc_v1.07372-RA, Tfasc_v1.15060-RA, Tfasc_v1.18880-RA, Tfasc_v1.29137-RA, Tfasc_v1.29272-RA, Tfasc_v1.29273-RA, Tfasc_v1.30443-RA, Tfasc_v1.30445-RA, Tlei_v1.21798-RA
BP	GO:0016042	lipid catabolic process	2.5e-07	OG0000463, OG0000525, OG0016420	Tfasc_v1.00362-RA, Tfasc_v1.03886-RA, Tfasc_v1.10030-RB, Tfasc_v1.10063-RA, Tfasc_v1.16730-RA, Tfasc_v1.27252-RA, Tfasc_v1.27256-RA, Tfasc_v1.28461-RA, Tfasc_v1.29038-RA, Tlei_v1.07145-RA, Tlei_v1.07630-RA, Tlei_v1.10754-RA
BP	GO:0000724	double-strand break repair via homologous recombination	5.4e-07	OG0000219, OG0000084, OG0000468	Tfasc_v1.04123-RA, Tfasc_v1.07156-RA, Tfasc_v1.25868-RA, Tfasc_v1.25873-RA, Tfasc_v1.25879-RA, Tfasc_v1.25880-RA, Tfasc_v1.27019-RA, Tfasc_v1.27024-RA, Tfasc_v1.27025-RA, Tfasc_v1.27026-RA, Tfasc_v1.27028-RA, Tfasc_v1.27029-RA, Tlei_v1.22812-RA
BP	GO:0055047	generative cell mitosis	1.6e-06	OG0001795	Tfasc_v1.08197-RA, Tfasc_v1.08264-RA, Tfasc_v1.22000-RA, Tlei_v1.20383-RA
BP	GO:1903830	magnesium ion transmembrane transport	2.1e-06	OG0000467	Tfasc_v1.05220-RA, Tfasc_v1.08166-RA, Tfasc_v1.11396-RB, Tfasc_v1.19138-RA, Tfasc_v1.19693-RA, Tfasc_v1.24562-RB, Tlei_v1.04466-RA
BP	GO:0006886	intracellular protein transport	4.7e-05	OG0000153, OG0000018, OG0000525, OG0000681	Tfasc_v1.00626-RA, Tfasc_v1.00933-RA, Tfasc_v1.00963-RA, Tfasc_v1.00965-RA, Tfasc_v1.10193-RA, Tfasc_v1.10242-RA, Tfasc_v1.12704-RA, Tfasc_v1.13239-RA, Tfasc_v1.13502-RA, Tfasc_v1.13606-RA, Tfasc_v1.15591-RA, Tfasc_v1.16730-RA, Tfasc_v1.18879-RA, Tfasc_v1.19278-RA, Tfasc_v1.21739-RA, Tfasc_v1.23873-RA, Tfasc_v1.25592-RA, Tfasc_v1.26311-RA, Tfasc_v1.29136-RA, Tfasc_v1.30444-RA, Tlei_v1.07630-RA, Tlei_v1.18403-RA, Tlei_v1.29252-RA
BP	GO:0015990	electron transport coupled proton transport	0.00069	OG0016275	Tfasc_v1.26319-RA, Tlei_v1.12034-RA
BP	GO:0080142	regulation of salicylic acid biosynthetic process	0.00106	OG0001204	Tfasc_v1.04851-RA, Tfasc_v1.20545-RA, Tlei_v1.05151-RA
BP	GO:0070262	peptidyl-serine dephosphorylation	0.0017	OG0004446	Tfasc_v1.15861-RA, Tlei_v1.22792-RB
BP	GO:0043547	positive regulation of GTPase activity	0.00181	OG0000517	Tfasc_v1.23924-RA, Tfasc_v1.25870-RA, Tfasc_v1.25871-RA, Tfasc_v1.29876-RA, Tfasc_v1.29910-RB, Tlei_v1.28633-RA
BP	GO:0015693	magnesium ion transport	0.00298	OG0000467	Tfasc_v1.05220-RA, Tfasc_v1.08166-RA, Tfasc_v1.11386-RC, Tfasc_v1.11396-RB, Tfasc_v1.16623-RA, Tfasc_v1.19138-RA, Tfasc_v1.19693-RA, Tfasc_v1.24562-RB, Tlei_v1.04466-RA
BP	GO:0046621	negative regulation of organ growth	0.00312	OG0000681	Tfasc_v1.09025-RA, Tfasc_v1.27653-RA
BP	GO:0006513	protein monoubiquitination	0.00715	OG0000525	Tfasc_v1.16730-RA, Tlei_v1.07630-RA
BP	GO:0007064	mitotic sister chromatid cohesion	0.00789	OG0000467, OG0000084	Tfasc_v1.05220-RA, Tfasc_v1.07156-RA, Tfasc_v1.19138-RA, Tfasc_v1.24562-RB
BP	GO:0000338	protein deneddylation	0.00972	OG0000467	Tfasc_v1.12931-RA, Tfasc_v1.15588-RA
BP	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.01776	OG0001795	Tfasc_v1.08197-RA, Tfasc_v1.08264-RA, Tfasc_v1.22000-RA, Tlei_v1.20383-RA
BP	GO:0009299	mRNA transcription	0.01945	OG0000024	Tfasc_v1.16565-RA, Tlei_v1.18921-RA
BP	GO:0048834	specification of petal number	0.0215	OG0000024	Tfasc_v1.16565-RA
BP	GO:0016558	protein import into peroxisome matrix	0.02746	OG0000525	Tfasc_v1.16730-RA, Tlei_v1.07630-RA
BP	GO:0009793	embryo development ending in seed dormancy	0.03049	OG0000084, OG0001795, OG0000467	Tfasc_v1.07156-RA, Tfasc_v1.08197-RA, Tfasc_v1.08264-RA, Tfasc_v1.12855-RA, Tfasc_v1.12931-RA, Tfasc_v1.15588-RA, Tfasc_v1.22000-RA, Tlei_v1.20383-RA
