gene_id	chrom	start	end
Tlei_v1.09775-RA	Tlei_chr7	365596	366910
Tlei_v1.09777-RA	Tlei_chr7	384980	388046
Tlei_v1.09798-RA	Tlei_chr7	508981	511362
Tlei_v1.09818-RB	Tlei_chr7	623009	630374
Tlei_v1.09881-RA	Tlei_chr7	1041983	1047205
Tlei_v1.09899-RA	Tlei_chr7	1175879	1178472
Tlei_v1.09905-RA	Tlei_chr7	1214476	1218327
Tlei_v1.09935-RA	Tlei_chr7	1562125	1568536
Tlei_v1.10000-RA	Tlei_chr7	2127238	2131383
Tlei_v1.10116-RA	Tlei_chr7	3852504	3861149
Tlei_v1.10140-RA	Tlei_chr7	4348668	4357289
Tlei_v1.10209-RA	Tlei_chr7	6789376	6794082
Tlei_v1.10260-RA	Tlei_chr7	9177677	9179779
Tlei_v1.10262-RA	Tlei_chr7	9291180	9295111
Tlei_v1.10264-RA	Tlei_chr7	9434174	9437708
Tlei_v1.10293-RA	Tlei_chr7	11242216	11243120
Tlei_v1.10315-RA	Tlei_chr7	12657139	12672925
Tlei_v1.10320-RA	Tlei_chr7	12988155	12996144
Tlei_v1.10330-RA	Tlei_chr7	13618036	13619661
Tlei_v1.10342-RA	Tlei_chr7	14542035	14555631
Tlei_v1.10384-RB	Tlei_chr7	18703435	18711357
Tlei_v1.10396-RA	Tlei_chr7	20082798	20084039
Tlei_v1.10589-RA	Tlei_chr7	36996663	36998031
Tlei_v1.10609-RA	Tlei_chr7	39167273	39175011
Tlei_v1.10677-RA	Tlei_chr7	43632969	43633082
Tlei_v1.10755-RA	Tlei_chr7	47483650	47485962
Tlei_v1.10762-RA	Tlei_chr7	47788284	47807472
Tlei_v1.10770-RA	Tlei_chr7	48079508	48097601
Tlei_v1.10788-RA	Tlei_chr7	48971251	48972007
Tlei_v1.10814-RA	Tlei_chr7	49781131	49799993
Tlei_v1.10836-RA	Tlei_chr7	50005605	50010067
Tlei_v1.10917-RA	Tlei_chr7	51386555	51398895
Tlei_v1.10972-RA	Tlei_chr7	51955380	51959405
Tlei_v1.10984-RA	Tlei_chr7	52086922	52092249
Tlei_v1.11003-RA	Tlei_chr7	52249704	52252661
Tlei_v1.11004-RA	Tlei_chr7	52254767	52255127
Tlei_v1.31977-RA	Tlei_chr25	429530	433633
Tlei_v1.31989-RA	Tlei_chr25	615687	626310
Tlei_v1.32018-RA	Tlei_chr25	1900262	1905591
Tlei_v1.32033-RA	Tlei_chr26	103054	107157
Tlei_v1.32050-RA	Tlei_chr26	489428	490147
Tlei_v1.21334-RA	Tlei_chr15	86342	103422
Tlei_v1.21413-RA	Tlei_chr15	853630	866911
Tlei_v1.21415-RA	Tlei_chr15	889109	893222
Tlei_v1.21435-RA	Tlei_chr15	1018880	1023608
Tlei_v1.21457-RA	Tlei_chr15	1233299	1236808
Tlei_v1.21464-RA	Tlei_chr15	1288302	1293236
Tlei_v1.21475-RA	Tlei_chr15	1357208	1363434
Tlei_v1.21528-RB	Tlei_chr15	1870129	1877894
Tlei_v1.21552-RA	Tlei_chr15	2181307	2186193
Tlei_v1.21550-RA	Tlei_chr15	2156041	2157712
Tlei_v1.21569-RA	Tlei_chr15	2299017	2309096
Tlei_v1.21584-RA	Tlei_chr15	2437415	2438158
Tlei_v1.21633-RA	Tlei_chr15	2831118	2833877
Tlei_v1.21664-RA	Tlei_chr15	3075112	3078234
Tlei_v1.21718-RA	Tlei_chr15	3497437	3501715
Tlei_v1.21846-RA	Tlei_chr15	4407603	4414954
Tlei_v1.21860-RA	Tlei_chr15	4521560	4526759
Tlei_v1.21871-RA	Tlei_chr15	4619508	4623671
Tlei_v1.21895-RA	Tlei_chr15	4760924	4763845
Tlei_v1.21911-RA	Tlei_chr15	4914516	4916618
Tlei_v1.21930-RA	Tlei_chr15	5108613	5111327
Tlei_v1.22005-RA	Tlei_chr15	6032332	6032814
Tlei_v1.22086-RA	Tlei_chr15	7064835	7071805
Tlei_v1.22109-RA	Tlei_chr15	7533583	7537091
Tlei_v1.22140-RA	Tlei_chr15	8117498	8140951
Tlei_v1.22226-RA	Tlei_chr15	10430053	10444187
Tlei_v1.22233-RA	Tlei_chr15	10600637	10607920
Tlei_v1.22240-RA	Tlei_chr15	10679602	10690616
Tlei_v1.22385-RA	Tlei_chr15	18057600	18059969
Tlei_v1.22409-RA	Tlei_chr15	19084330	19088966
Tlei_v1.22476-RA	Tlei_chr15	24087916	24092538
Tlei_v1.22486-RA	Tlei_chr15	24347011	24360354
Tlei_v1.22507-RA	Tlei_chr15	24908902	24909384
Tlei_v1.22523-RA	Tlei_chr15	25647732	25658517
Tlei_v1.22583-RA	Tlei_chr15	29157347	29161762
Tlei_v1.22605-RA	Tlei_chr15	31490325	31491350
Tlei_v1.22718-RA	Tlei_chr15	33631074	33640087
Tlei_v1.22768-RA	Tlei_chr15	34232386	34237133
Tlei_v1.22774-RA	Tlei_chr15	34288298	34292062
Tlei_v1.31376-RA	Tlei_chr24	446334	449320
Tlei_v1.31397-RA	Tlei_chr24	576609	579238
Tlei_v1.31408-RA	Tlei_chr24	655802	659197
Tlei_v1.31428-RA	Tlei_chr24	802333	807301
Tlei_v1.31430-RA	Tlei_chr24	818998	821927
Tlei_v1.31471-RA	Tlei_chr24	1149635	1156676
Tlei_v1.31494-RA	Tlei_chr24	1344631	1346825
Tlei_v1.31504-RA	Tlei_chr24	1440186	1447915
Tlei_v1.31566-RA	Tlei_chr24	2126159	2130938
Tlei_v1.31570-RA	Tlei_chr24	2181943	2188543
Tlei_v1.31620-RA	Tlei_chr24	2965579	2972202
Tlei_v1.31617-RA	Tlei_chr24	2942210	2945860
Tlei_v1.31622-RA	Tlei_chr24	3015090	3020673
Tlei_v1.31644-RA	Tlei_chr24	3688227	3692775
Tlei_v1.31692-RA	Tlei_chr24	4829504	4833509
Tlei_v1.31715-RA	Tlei_chr24	5239564	5242419
Tlei_v1.31722-RA	Tlei_chr24	5435328	5451863
Tlei_v1.31739-RA	Tlei_chr24	5753536	5764611
Tlei_v1.31766-RA	Tlei_chr24	6201893	6203251
Tlei_v1.31828-RA	Tlei_chr24	7030066	7037600
Tlei_v1.31869-RA	Tlei_chr24	7340675	7341571
Tlei_v1.31907-RA	Tlei_chr24	7812215	7820368
Tlei_v1.31952-RA	Tlei_chr24	8204785	8205183
Tlei_v1.29570-RA	Tlei_chr22	565688	570607
Tlei_v1.29610-RA	Tlei_chr22	1324661	1337700
Tlei_v1.29615-RA	Tlei_chr22	1414915	1431879
Tlei_v1.29655-RA	Tlei_chr22	2194936	2220405
Tlei_v1.29698-RA	Tlei_chr22	3310648	3324146
Tlei_v1.29705-RA	Tlei_chr22	3467957	3484488
