Scaffold	total_length	total_exonic_length	proportion_exonic	repetitive_content
Tlei_chr1	60417217	785108	1.30	80.53
Tlei_chr2	57132681	858429	1.50	78.24
Tlei_chr3	55693152	635809	1.14	81.64
Tlei_chr4	55355978	608177	1.10	83.25
Tlei_chr5	54835787	589165	1.07	83.16
Tlei_chr6	52333425	666120	1.27	79.46
Tlei_chr7	52290719	501122	0.96	84.39
Tlei_chr8	51368336	682196	1.33	77.90
Tlei_chr9	50270259	732365	1.46	80.22
Tlei_chr10	48367378	761158	1.57	78.62
Tlei_chr11	45933410	486867	1.06	84.32
Tlei_chr12	43354870	546030	1.26	80.19
Tlei_chr13	39222561	561693	1.43	80.09
Tlei_chr14	38474115	888384	2.31	65.68
Tlei_chr15	34590513	695550	2.01	71.78
Tlei_chr16	30260857	490118	1.62	74.71
Tlei_chr17	28860503	688715	2.39	66.20
Tlei_chr18	26162001	439930	1.68	74.38
Tlei_chr19	20449340	596141	2.92	56.69
Tlei_chr20	18294627	606384	3.31	54.97
Tlei_chr21	11471721	383571	3.34	51.42
Tlei_chr22	10199391	436574	4.28	42.56
Tlei_chr23	9804442	488772	4.99	34.31
Tlei_chr24	8346026	313122	3.75	44.01
Tlei_chr25	1986623	25637	1.29	81.74
Tlei_chr26	991997	17300	1.74	67.85
