Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:1902600	proton transmembrane transport	7.7e-08	OG0002339, OG0007170, OG0008394, OG0019211, OG0015039, OG0004150, OG0004832, OG0004636, OG0000539, OG0004020, OG0001562	Tfasc_v1.00821, Tfasc_v1.08937, Tfasc_v1.09378, Tfasc_v1.14165, Tfasc_v1.14724, Tfasc_v1.16080, Tfasc_v1.17712, Tfasc_v1.18209, Tfasc_v1.19742, Tfasc_v1.21510, Tfasc_v1.26998
BP	GO:0005983	starch catabolic process	8.3e-05	OG0017324, OG0011529, OG0001339	Tfasc_v1.06749, Tfasc_v1.23043, Tfasc_v1.27353
BP	GO:0071586	CAAX-box protein processing	0.0024	OG0006288, OG0015932	Tfasc_v1.05950, Tfasc_v1.11325
BP	GO:0061615	glycolytic process through fructose-6-phosphate	0.0029	OG0007811, OG0008818	Tfasc_v1.20370, Tfasc_v1.24086
BP	GO:0006099	tricarboxylic acid cycle	0.004	OG0001548, OG0001504, OG0016150	Tfasc_v1.03126, Tfasc_v1.16311, Tfasc_v1.17156
BP	GO:0006094	gluconeogenesis	0.0045	OG0003520, OG0019125, OG0013701	Tfasc_v1.04514, Tfasc_v1.07899, Tfasc_v1.26280
BP	GO:0016126	sterol biosynthetic process	0.0058	OG0012416, OG0012804	Tfasc_v1.16794, Tfasc_v1.21912
BP	GO:0009684	indoleacetic acid biosynthetic process	0.0068	OG0015144	Tfasc_v1.02866
BP	GO:2000653	regulation of genetic imprinting	0.0068	OG0016878	Tfasc_v1.04454
BP	GO:0071816	tail-anchored membrane protein insertion into ER membrane	0.0068	OG0012217	Tfasc_v1.21345
BP	GO:0048016	inositol phosphate-mediated signaling	0.0068	OG0010297	Tfasc_v1.28989
BP	GO:0006799	polyphosphate biosynthetic process	0.0068	OG0010297	Tfasc_v1.28989
BP	GO:0018298	protein-chromophore linkage	0.0081	OG0013035, OG0018593	Tfasc_v1.13157, Tfasc_v1.25887
BP	GO:0006002	fructose 6-phosphate metabolic process	0.0089	OG0007811, OG0008818	Tfasc_v1.20370, Tfasc_v1.24086
BP	GO:0000024	maltose biosynthetic process	0.0136	OG0001339	Tfasc_v1.27353
BP	GO:0042550	photosystem I stabilization	0.0136	OG0006188	Tfasc_v1.06259
BP	GO:0033528	S-methylmethionine cycle	0.0136	OG0007878	Tfasc_v1.20494
BP	GO:0006096	glycolytic process	0.0185	OG0003520, OG0000766, OG0007811, OG0008818, OG0001525	Tfasc_v1.04514, Tfasc_v1.17464, Tfasc_v1.20370, Tfasc_v1.24086, Tfasc_v1.26860
