Gene_id	orthogroup
Tlei_v1.15382-RA	OG0005161
Tlei_v1.27003-RA	OG0004781
Tlei_v1.17085-RA	OG0011985
Tlei_v1.21102-RA	OG0005370
Tlei_v1.06687-RA	OG0003793
Tlei_v1.04973-RA	OG0005598
Tlei_v1.31210-RA	OG0014849
Tlei_v1.10315-RA	OG0013501
Tlei_v1.30546-RA	OG0002946
Tlei_v1.10384-RB	OG0017017
Tlei_v1.09798-RA	OG0013946
Tlei_v1.09717-RA	OG0004860
Tlei_v1.09899-RA	OG0004972
Tlei_v1.11437-RA	OG0000400
Tlei_v1.03234-RA	OG0000406
Tlei_v1.03194-RA	OG0000406
Tlei_v1.01304-RA	OG0003016
Tlei_v1.07712-RA	OG0000394
Tlei_v1.22911-RA	OG0000399
Tlei_v1.18804-RA	OG0017852
Tlei_v1.08943-RA	OG0013883
Tlei_v1.05155-RA	OG0012810
Tlei_v1.23430-RA	OG0011867
Tlei_v1.03688-RA	OG0004893
Tlei_v1.02200-RA	OG0006500
Tlei_v1.11486-RA	OG0004827
Tlei_v1.31766-RA	OG0014764
Tlei_v1.15346-RA	OG0002875
Tlei_v1.27925-RA	OG0002724
Tlei_v1.26053-RA	OG0001195
Tlei_v1.06180-RA	OG0014974
Tlei_v1.09120-RA	OG0014647
Tlei_v1.14570-RA	OG0004583
Tlei_v1.10788-RA	OG0000243
Tlei_v1.04267-RA	OG0005049
Tlei_v1.10836-RA	OG0017705
Tlei_v1.30855-RA	OG0009241
Tlei_v1.10396-RA	OG0001822
Tlei_v1.22583-RA	OG0015601
Tlei_v1.20642-RA	OG0009452
Tlei_v1.29105-RA	OG0000200
Tlei_v1.27965-RA	OG0000200
Tlei_v1.06962-RA	OG0009004
Tlei_v1.22836-RA	OG0012987
Tlei_v1.14903-RA	OG0014911
Tlei_v1.12495-RA	OG0010874
Tlei_v1.07135-RA	OG0018680
Tlei_v1.05522-RA	OG0003349
Tlei_v1.12864-RA	OG0001267
Tlei_v1.21911-RA	OG0008080
Tlei_v1.07884-RA	OG0001860
Tlei_v1.20665-RA	OG0014896
Tlei_v1.15343-RA	OG0016539
Tlei_v1.14543-RA	OG0001636
Tlei_v1.11594-RA	OG0000944
Tlei_v1.00791-RA	OG0002015
Tlei_v1.26437-RA	OG0010153
Tlei_v1.02897-RA	OG0001847
Tlei_v1.11703-RA	OG0001842
Tlei_v1.01511-RA	OG0000717
Tlei_v1.04272-RA	OG0016497
Tlei_v1.14165-RB	OG0018933
Tlei_v1.08485-RA	OG0004384
Tlei_v1.01100-RA	OG0006381
Tlei_v1.26526-RA	OG0003922
Tlei_v1.02807-RA	OG0011264
Tlei_v1.30055-RA	OG0000361
Tlei_v1.31907-RA	OG0002636
Tlei_v1.28626-RA	OG0001561
Tlei_v1.18633-RA	OG0019643
Tlei_v1.12379-RA	OG0013839
Tlei_v1.18438-RA	OG0001651
Tlei_v1.10770-RA	OG0013887
Tlei_v1.19587-RA	OG0001353
Tlei_v1.11887-RA	OG0015932
Tlei_v1.08192-RA	OG0000753
Tlei_v1.13001-RA	OG0007222
Tlei_v1.04953-RA	OG0002074
Tlei_v1.06078-RA	OG0015453
Tlei_v1.15869-RA	OG0015492
Tlei_v1.06828-RA	OG0009753
Tlei_v1.03647-RA	OG0014820
Tlei_v1.29498-RA	OG0014395
Tlei_v1.01423-RA	OG0006238
Tlei_v1.14892-RA	OG0019095
Tlei_v1.31739-RA	OG0018270
Tlei_v1.27901-RA	OG0005400
Tlei_v1.29252-RA	OG0000681
Tlei_v1.14431-RA	OG0014096
Tlei_v1.16637-RA	OG0005663
Tlei_v1.07797-RA	OG0014532
Tlei_v1.26913-RA	OG0015371
Tlei_v1.14385-RA	OG0015566
Tlei_v1.22109-RA	OG0016086
Tlei_v1.26653-RA	OG0002757
Tlei_v1.08884-RA	OG0000539
Tlei_v1.22005-RA	OG0000985
Tlei_v1.27937-RA	OG0015899
Tlei_v1.06116-RA	OG0014077
Tlei_v1.26112-RA	OG0014612
Tlei_v1.15934-RA	OG0013717
Tlei_v1.00006-RA	OG0012530
Tlei_v1.00008-RA	OG0012535
