gene	seqname	Single_copy.Broc_Anan_Tilla.	Low_copy.Broc_Anan_Tilla.	High_copy.Broc_Anan_Tilla.	Diff_expressed_CAMC3	pos_selection_CAM_shifts	gene_families_CAMC3	Angiosperm_gene	CAM-related_Acomosus_Ming2015	stomata_func	aquaporin_reg	draught_res	markers	anthocyanin_SI_Ananas	circadian_metabolism_Wai2017	malateTransferase_Assimilation_Carbohydrates	fllavonoid_anthocyanin_Pitcairnia_PS	pos_sel_portullugo	glucogenesis_glycolysis	circadian_clock	type	average_exon_size	nr_exons_per_gene	total_exonic_size	min_exon_size
Aco000319	LG12	yes	no	no	NA	NA	NA	NA									STA_L_flavonol synthase	NA	yes		11_Glycolysis_night_C4_malate_pathway	429.5	2	859	329
Aco000551	LG12	no	no	yes	NA	NA	NA	NA									ALB_F_leucoanthocyanidin dioxygenase	NA			NA	294.5	4	1178	78
Aco000637	LG12	yes	no	no	NA	NA	NA	NA									ALB_L_dihydroflavonol 4-reductase	NA	yes		10_Glucogenesis_specific_dayC3	254	7	1778	42
Aco000717	LG02	yes	no	no	NA	NA	NA	NA									ALB_L_bifunctional dihydroflavonol 4-reductase flavanone 4-reductase	NA			NA	179.4285714286	7	1256	137
Aco000868	LG02	no	yes	no	NA	NA	NA	NA						yes			NA	NA			00_#Ming2019_SI_gene	1151	1	1151	1151
Aco000907	LG02	no	yes	no	NA	NA	NA	NA									ALB_F_UDP-glycosyltransferase	NA			NA	564	3	1692	98
Aco001100	LG02	no	yes	no	NA	NA	NA	NA						yes			NA	NA			00_#Ming2019_SI_gene	237.5	4	950	155
Aco001216	LG02	no	yes	no	NA	NA	NA	NA						yes			NA	NA			00_#Ming2019_SI_gene	474	5	2370	54
Aco001858	LG18	no	yes	no	NA	NA	NA	NA									ALB_F_acyl-glucose-dependent anthocyanin 7-o-glucosyltransferase	NA			NA	115.75	12	1389	25
Aco002683	LG06	yes	no	no	NA	NA	NA	NA									ALB_F_flavonol synthase	NA			NA	459	3	1377	327
Aco003857	LG15	no	yes	no	NA	NA	NA	NA									ALB_L_Flavonoid 3- hydroxylase	NA			NA	400.3333333333	6	2402	165
Aco003873	LG15	no	yes	no	NA	NA	NA	NA						yes			NA	NA			00_#Ming2019_Anthocyanin_biosynthesis	230	9	2070	65
