Gene_id	orthology	CDS_length	startcodon	stopcodon	expression	robust
Tfasc_v1.31636-RA	NO_ORTHOLOGY	1068	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31637-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33198-RA	NO_ORTHOLOGY	309	False	one_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.32771-RA	NO_ORTHOLOGY	1170	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32772-RA	NO_ORTHOLOGY	675	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32159-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32160-RA	NO_ORTHOLOGY	390	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32161-RA	NO_ORTHOLOGY	207	True	no_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.31845-RA	NO_ORTHOLOGY	186	False	one_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.31849-RA	NO_ORTHOLOGY	1173	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31847-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31850-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31846-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31848-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31844-RA	NO_ORTHOLOGY	264	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33532-RA	NO_ORTHOLOGY	132	True	no_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.33530-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33531-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31525-RA	NO_ORTHOLOGY	324	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.31524-RA	NO_ORTHOLOGY	258	False	no_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.32406-RA	NO_ORTHOLOGY	135	True	no_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.32407-RA	NO_ORTHOLOGY	255	False	no_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.32405-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33106-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33107-RA	NO_ORTHOLOGY	390	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32759-RA	NO_ORTHOLOGY	252	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33395-RA	NO_ORTHOLOGY	1998	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33396-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33653-RA	NO_ORTHOLOGY	717	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33652-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32064-RA	NO_ORTHOLOGY	603	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32063-RA	NO_ORTHOLOGY	603	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32065-RA	NO_ORTHOLOGY	717	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33217-RA	NO_ORTHOLOGY	126	True	one_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.33216-RA	NO_ORTHOLOGY	777	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.32593-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33543-RA	NO_ORTHOLOGY	552	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.33544-RA	NO_ORTHOLOGY	279	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30897-RA	NO_ORTHOLOGY	873	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30898-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30899-RA	NO_ORTHOLOGY	711	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30901-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30900-RA	NO_ORTHOLOGY	222	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30902-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30909-RA	NO_ORTHOLOGY	657	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30906-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30907-RA	NO_ORTHOLOGY	1371	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30903-RA	NO_ORTHOLOGY	1587	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30904-RA	NO_ORTHOLOGY	717	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30905-RA	NO_ORTHOLOGY	657	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30908-RA	NO_ORTHOLOGY	390	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30859-RA	NO_ORTHOLOGY	714	True	one_stopcodon	no_features	ROBUST
Tfasc_v1.30860-RA	NO_ORTHOLOGY	135	False	one_stopcodon	no_features	NOT_ROBUST
Tfasc_v1.30862-RA	NO_ORTHOLOGY	288	False	no_stopcodon	no_features	NOT_ROBUST
