Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006623	protein targeting to vacuole	0.00037	OG0012642, OG0012432, OG0015979, OG0007129, OG0004347, OG0011482, OG0001505, OG0006836	Tfasc_v1.01937, Tfasc_v1.05120, Tfasc_v1.06620, Tfasc_v1.08867, Tfasc_v1.12444, Tfasc_v1.23111, Tfasc_v1.24557, Tfasc_v1.27794
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.00308	OG0002488, OG0002068, OG0000623	Tfasc_v1.02159, Tfasc_v1.09312, Tfasc_v1.25212
BP	GO:0006355	regulation of transcription, DNA-templated	0.0035	OG0011649, OG0001080, OG0004946, OG0003086, OG0018417, OG0012645, OG0013279, OG0013805, OG0013614, OG0013180, OG0006337, OG0006316, OG0006215, OG0016625, OG0019067, OG0016736, OG0007185, OG0018072, OG0018041, OG0005232, OG0010962, OG0010715, OG0010687, OG0011800, OG0011814, OG0013044, OG0005956, OG0019426, OG0014966, OG0005211, OG0001412, OG0009726, OG0009058, OG0011382, OG0002656, OG0015865, OG0004905, OG0014601, OG0002728, OG0004678, OG0011212, OG0011220, OG0019536, OG0003326, OG0001251, OG0001648, OG0004162, OG0016067, OG0014067, OG0011973, OG0012799, OG0012786, OG0007450, OG0007416, OG0004551, OG0015082, OG0015068, OG0011478, OG0011944, OG0011858, OG0014417, OG0008945, OG0018158, OG0018259, OG0000669, OG0010024, OG0018638, OG0017048, OG0006908, OG0010238, OG0018311, OG0018880, OG0009426, OG0015651, OG0015334, OG0016025	Tfasc_v1.00184, Tfasc_v1.00425, Tfasc_v1.00549, Tfasc_v1.01346, Tfasc_v1.01522, Tfasc_v1.01946, Tfasc_v1.02095, Tfasc_v1.02345, Tfasc_v1.03140, Tfasc_v1.05566, Tfasc_v1.05824, Tfasc_v1.05894, Tfasc_v1.06160, Tfasc_v1.06357, Tfasc_v1.06662, Tfasc_v1.08887, Tfasc_v1.08966, Tfasc_v1.09029, Tfasc_v1.09865, Tfasc_v1.10348, Tfasc_v1.10364, Tfasc_v1.10868, Tfasc_v1.12029, Tfasc_v1.12085, Tfasc_v1.12445, Tfasc_v1.12495, Tfasc_v1.13146, Tfasc_v1.14330, Tfasc_v1.14591, Tfasc_v1.14672, Tfasc_v1.14807, Tfasc_v1.15577, Tfasc_v1.16205, Tfasc_v1.16561, Tfasc_v1.17179, Tfasc_v1.17456, Tfasc_v1.17457, Tfasc_v1.17934, Tfasc_v1.18481, Tfasc_v1.18788, Tfasc_v1.19292, Tfasc_v1.19305, Tfasc_v1.19475, Tfasc_v1.19517, Tfasc_v1.19926, Tfasc_v1.19973, Tfasc_v1.20458, Tfasc_v1.20577, Tfasc_v1.20578, Tfasc_v1.20598, Tfasc_v1.21019, Tfasc_v1.21186, Tfasc_v1.21710, Tfasc_v1.21919, Tfasc_v1.21982, Tfasc_v1.22432, Tfasc_v1.22491, Tfasc_v1.22727, Tfasc_v1.22813, Tfasc_v1.22834, Tfasc_v1.23121, Tfasc_v1.23198, Tfasc_v1.23372, Tfasc_v1.23468, Tfasc_v1.24334, Tfasc_v1.24894, Tfasc_v1.25425, Tfasc_v1.26062, Tfasc_v1.26654, Tfasc_v1.26823, Tfasc_v1.26857, Tfasc_v1.27664, Tfasc_v1.28883, Tfasc_v1.29340, Tfasc_v1.30072, Tfasc_v1.30267, Tfasc_v1.30420, Tfasc_v1.30498, Tfasc_v1.30705
BP	GO:0009739	response to gibberellin	0.00445	OG0003543, OG0005232, OG0009657, OG0010024	Tfasc_v1.00158, Tfasc_v1.10348, Tfasc_v1.10364, Tfasc_v1.16092, Tfasc_v1.26654
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	0.00547	OG0006481, OG0007129, OG0001637, OG0004441, OG0001885, OG0000760	Tfasc_v1.01218, Tfasc_v1.08867, Tfasc_v1.11228, Tfasc_v1.15893, Tfasc_v1.27720, Tfasc_v1.29665
BP	GO:0010051	xylem and phloem pattern formation	0.00616	OG0005006, OG0014051, OG0004418, OG0004378	Tfasc_v1.06555, Tfasc_v1.17350, Tfasc_v1.21487, Tfasc_v1.23246, Tfasc_v1.23247
BP	GO:2000032	regulation of secondary shoot formation	0.0091	OG0003543, OG0010715	Tfasc_v1.00158, Tfasc_v1.12029
BP	GO:0016540	protein autoprocessing	0.0091	OG0005386	Tfasc_v1.05294, Tfasc_v1.05298
BP	GO:0071108	protein K48-linked deubiquitination	0.0091	OG0010147, OG0007288	Tfasc_v1.17521, Tfasc_v1.22736
BP	GO:0055088	lipid homeostasis	0.01346	OG0002929, OG0014940, OG0004231, OG0012747, OG0004418	Tfasc_v1.13981, Tfasc_v1.14602, Tfasc_v1.17188, Tfasc_v1.20796, Tfasc_v1.21487
