"name"	"size"	"species"	"start"	"end"
"1"	"Tfas_chr1"	32162447	"Tfas"	0	32162447
"2"	"Tfas_chr2"	31698969	"Tfas"	32162448	63861416
"3"	"Tfas_chr3"	31153634	"Tfas"	63861417	95015050
"4"	"Tfas_chr4"	30972320	"Tfas"	95015051	125987370
"5"	"Tfas_chr5"	30145683	"Tfas"	125987371	156133053
"6"	"Tfas_chr6"	29567185	"Tfas"	156133054	185700238
"7"	"Tfas_chr7"	27230796	"Tfas"	185700239	212931034
"8"	"Tfas_chr8"	27210704	"Tfas"	212931035	240141738
"9"	"Tfas_chr9"	26509606	"Tfas"	240141739	266651344
"10"	"Tfas_chr10"	26021936	"Tfas"	266651345	292673280
"11"	"Tfas_chr11"	25842354	"Tfas"	292673281	318515634
"12"	"Tfas_chr12"	25341332	"Tfas"	318515635	343856966
"13"	"Tfas_chr13"	24881768	"Tfas"	343856967	368738734
"14"	"Tfas_chr14"	24649150	"Tfas"	368738735	393387884
"15"	"Tfas_chr15"	23784123	"Tfas"	393387885	417172007
"16"	"Tfas_chr16"	23642332	"Tfas"	417172008	440814339
"17"	"Tfas_chr17"	21704838	"Tfas"	440814340	462519177
"18"	"Tfas_chr18"	21234157	"Tfas"	462519178	483753334
"19"	"Tfas_chr19"	19440187	"Tfas"	483753335	503193521
"20"	"Tfas_chr20"	19367790	"Tfas"	503193522	522561311
"21"	"Tfas_chr21"	18018563	"Tfas"	522561312	540579874
"22"	"Tfas_chr22"	17107477	"Tfas"	540579875	557687351
"23"	"Tfas_chr23"	16741216	"Tfas"	557687352	574428567
"24"	"Tfas_chr24"	13520883	"Tfas"	574428568	587949450
"25"	"Tfas_chr25"	12332728	"Tfas"	587949451	600282178
"26"	"Tlei_chr1"	60417217	"Tlei"	600282179	660699395
"27"	"Tlei_chr2"	57132681	"Tlei"	660699396	717832076
"28"	"Tlei_chr3"	55693152	"Tlei"	717832077	773525228
"29"	"Tlei_chr4"	55355978	"Tlei"	773525229	828881206
"30"	"Tlei_chr5"	54835787	"Tlei"	828881207	883716993
"31"	"Tlei_chr6"	52333425	"Tlei"	883716994	936050418
"32"	"Tlei_chr7"	52290719	"Tlei"	936050419	988341137
"33"	"Tlei_chr8"	51368336	"Tlei"	988341138	1039709473
"34"	"Tlei_chr9"	50270259	"Tlei"	1039709474	1089979732
"35"	"Tlei_chr10"	48367378	"Tlei"	1089979733	1138347110
"36"	"Tlei_chr11"	45933410	"Tlei"	1138347111	1184280520
"37"	"Tlei_chr12"	43354870	"Tlei"	1184280521	1227635390
"38"	"Tlei_chr13"	39222561	"Tlei"	1227635391	1266857951
"39"	"Tlei_chr14"	38474115	"Tlei"	1266857952	1305332066
"40"	"Tlei_chr15"	34590513	"Tlei"	1305332067	1339922579
"41"	"Tlei_chr16"	30260857	"Tlei"	1339922580	1370183436
"42"	"Tlei_chr17"	28860503	"Tlei"	1370183437	1399043939
"43"	"Tlei_chr18"	26162001	"Tlei"	1399043940	1425205940
"44"	"Tlei_chr19"	20449340	"Tlei"	1425205941	1445655280
"45"	"Tlei_chr20"	18294627	"Tlei"	1445655281	1463949907
"46"	"Tlei_chr21"	11471721	"Tlei"	1463949908	1475421628
"47"	"Tlei_chr22"	10199391	"Tlei"	1475421629	1485621019
"48"	"Tlei_chr23"	9804442	"Tlei"	1485621020	1495425461
"49"	"Tlei_chr24"	8346026	"Tlei"	1495425462	1503771487
"50"	"Tlei_chr25"	1986623	"Tlei"	1503771488	1505758110
"51"	"Tlei_chr26"	991997	"Tlei"	1505758111	1506750107
