Tfasc_v1.31994-RA	Scaffold_2305	111692	121190	OG0000000	1	2100
Tfasc_v1.00544-RA	Scaffold_2199	5062198	5062911	OG0000001	772	0
Tfasc_v1.00608-RA	Scaffold_2199	5896752	5897183	OG0000001	772	0
Tfasc_v1.00719-RA	Scaffold_2199	8048152	8048865	OG0000001	772	0
Tfasc_v1.00725-RA	Scaffold_2199	8470243	8470716	OG0000001	772	0
Tfasc_v1.00774-RA	Scaffold_2199	11014898	11015611	OG0000001	772	0
Tfasc_v1.00785-RA	Scaffold_2199	11528240	11528908	OG0000001	772	0
Tfasc_v1.00787-RA	Scaffold_2199	11620232	11620744	OG0000001	772	0
Tfasc_v1.00788-RA	Scaffold_2199	11755131	11755835	OG0000001	772	0
Tfasc_v1.00789-RA	Scaffold_2199	11785556	11786269	OG0000001	772	0
Tfasc_v1.00814-RA	Scaffold_2199	13419205	13419918	OG0000001	772	0
Tfasc_v1.00819-RA	Scaffold_2199	14080706	14081419	OG0000001	772	0
Tfasc_v1.00848-RA	Scaffold_2199	15506227	15506940	OG0000001	772	0
Tfasc_v1.00853-RA	Scaffold_2199	15637731	15638444	OG0000001	772	0
Tfasc_v1.00871-RA	Scaffold_2199	17206978	17207691	OG0000001	772	0
Tfasc_v1.00878-RA	Scaffold_2199	17550450	17551163	OG0000001	772	0
Tfasc_v1.00887-RA	Scaffold_2199	17913636	17914349	OG0000001	772	0
Tfasc_v1.00906-RA	Scaffold_2199	18721412	18722023	OG0000001	772	0
Tfasc_v1.00914-RA	Scaffold_2199	19135324	19136037	OG0000001	772	0
Tfasc_v1.00921-RA	Scaffold_2199	19558798	19559511	OG0000001	772	0
Tfasc_v1.00923-RA	Scaffold_2199	19598576	19599289	OG0000001	772	0
Tfasc_v1.00977-RA	Scaffold_2199	21817329	21817709	OG0000001	772	0
Tfasc_v1.00996-RA	Scaffold_2199	22574195	22574908	OG0000001	772	0
Tfasc_v1.01000-RA	Scaffold_2199	23014827	23015540	OG0000001	772	0
Tfasc_v1.01010-RA	Scaffold_2199	23553261	23553974	OG0000001	772	0
Tfasc_v1.01029-RA	Scaffold_2199	24394113	24394826	OG0000001	772	0
Tfasc_v1.02624-RA	Scaffold_658	11406302	11407015	OG0000001	772	0
Tfasc_v1.02642-RA	Scaffold_658	12053951	12054664	OG0000001	772	0
Tfasc_v1.02643-RA	Scaffold_658	12096134	12096613	OG0000001	772	0
Tfasc_v1.02668-RA	Scaffold_658	13100934	13101647	OG0000001	772	0
Tfasc_v1.02689-RA	Scaffold_658	13580330	13581043	OG0000001	772	0
Tfasc_v1.02732-RA	Scaffold_658	15948684	15949397	OG0000001	772	0
Tfasc_v1.02734-RA	Scaffold_658	15969312	15969926	OG0000001	772	0
Tfasc_v1.02737-RA	Scaffold_658	16008404	16009117	OG0000001	772	0
Tfasc_v1.02740-RA	Scaffold_658	16348160	16348864	OG0000001	772	0
Tfasc_v1.02749-RA	Scaffold_658	16896433	16897146	OG0000001	772	0
Tfasc_v1.02766-RA	Scaffold_658	18163932	18164645	OG0000001	772	0
Tfasc_v1.02785-RA	Scaffold_658	18910502	18911215	OG0000001	772	0
Tfasc_v1.02803-RA	Scaffold_658	19853398	19854111	OG0000001	772	0
Tfasc_v1.02886-RA	Scaffold_658	23812301	23813014	OG0000001	772	0
Tfasc_v1.02901-RA	Scaffold_658	24545865	24546578	OG0000001	772	0
Tfasc_v1.02929-RA	Scaffold_658	25424987	25425700	OG0000001	772	0
Tfasc_v1.02930-RA	Scaffold_658	25450586	25451299	OG0000001	772	0
Tfasc_v1.02942-RA	Scaffold_658	25781356	25781739	OG0000001	772	0
Tfasc_v1.03814-RA	Scaffold_2318	5386564	5387277	OG0000001	772	0
Tfasc_v1.03836-RA	Scaffold_2318	6175166	6175879	OG0000001	772	0
Tfasc_v1.03848-RA	Scaffold_2318	6779430	6779972	OG0000001	772	0
Tfasc_v1.03854-RA	Scaffold_2318	7109392	7110105	OG0000001	772	0
Tfasc_v1.03875-RA	Scaffold_2318	7951878	7952591	OG0000001	772	0
Tfasc_v1.03906-RA	Scaffold_2318	8900892	8901605	OG0000001	772	0
Tfasc_v1.03923-RA	Scaffold_2318	9954175	9954564	OG0000001	772	0
Tfasc_v1.03924-RA	Scaffold_2318	10230064	10230777	OG0000001	772	0
Tfasc_v1.03929-RA	Scaffold_2318	10336871	10337233	OG0000001	772	0
Tfasc_v1.03930-RA	Scaffold_2318	10371493	10372206	OG0000001	772	0
Tfasc_v1.03936-RA	Scaffold_2318	10745795	10746508	OG0000001	772	0
Tfasc_v1.03959-RA	Scaffold_2318	11697717	11698391	OG0000001	772	0
Tfasc_v1.03962-RA	Scaffold_2318	11739238	11739951	OG0000001	772	0
Tfasc_v1.03981-RA	Scaffold_2318	13257682	13258116	OG0000001	772	0
Tfasc_v1.03995-RA	Scaffold_2318	14387762	14388412	OG0000001	772	0
Tfasc_v1.03999-RA	Scaffold_2318	14449572	14450285	OG0000001	772	0
Tfasc_v1.04000-RA	Scaffold_2318	14455435	14456148	OG0000001	772	0
Tfasc_v1.04010-RA	Scaffold_2318	15007395	15007988	OG0000001	772	0
Tfasc_v1.04026-RA	Scaffold_2318	16053500	16054213	OG0000001	772	0
Tfasc_v1.04031-RA	Scaffold_2318	16344750	16345463	OG0000001	772	0
Tfasc_v1.04052-RA	Scaffold_2318	17569744	17570457	OG0000001	772	0
Tfasc_v1.04066-RA	Scaffold_2318	18448763	18449476	OG0000001	772	0
Tfasc_v1.04067-RA	Scaffold_2318	18453675	18454388	OG0000001	772	0
Tfasc_v1.04068-RA	Scaffold_2318	18458584	18459297	OG0000001	772	0
Tfasc_v1.04077-RA	Scaffold_2318	19245800	19246513	OG0000001	772	0
Tfasc_v1.04104-RA	Scaffold_2318	20745188	20745901	OG0000001	772	0
Tfasc_v1.04142-RA	Scaffold_2318	22112142	22112855	OG0000001	772	0
Tfasc_v1.04176-RA	Scaffold_2318	23097454	23097990	OG0000001	772	0
Tfasc_v1.05227-RA	Scaffold_2041	6680686	6681399	OG0000001	772	0
Tfasc_v1.05235-RA	Scaffold_2041	6935732	6936202	OG0000001	772	0
Tfasc_v1.05296-RA	Scaffold_2041	9903816	9904529	OG0000001	772	0
Tfasc_v1.05305-RA	Scaffold_2041	10498848	10499561	OG0000001	772	0
Tfasc_v1.05311-RA	Scaffold_2041	10707854	10708567	OG0000001	772	0
Tfasc_v1.05318-RA	Scaffold_2041	11130601	11131035	OG0000001	772	0
Tfasc_v1.05337-RA	Scaffold_2041	12189628	12190293	OG0000001	772	0
Tfasc_v1.05362-RA	Scaffold_2041	13541313	13542026	OG0000001	772	0
Tfasc_v1.05376-RA	Scaffold_2041	14392006	14392719	OG0000001	772	0
Tfasc_v1.05387-RA	Scaffold_2041	14886035	14886520	OG0000001	772	0
Tfasc_v1.05389-RA	Scaffold_2041	14939670	14940275	OG0000001	772	0
Tfasc_v1.05395-RA	Scaffold_2041	15421630	15422343	OG0000001	772	0
Tfasc_v1.05487-RA	Scaffold_2041	19952552	19953265	OG0000001	772	0
Tfasc_v1.05538-RA	Scaffold_2041	21289061	21289774	OG0000001	772	0
Tfasc_v1.05622-RA	Scaffold_2041	23056182	23056895	OG0000001	772	0
Tfasc_v1.05624-RA	Scaffold_2041	23087812	23088525	OG0000001	772	0
Tfasc_v1.06977-RA	Scaffold_2096	4769991	4770611	OG0000001	772	0
Tfasc_v1.07040-RA	Scaffold_2096	6220025	6220738	OG0000001	772	0
Tfasc_v1.07058-RA	Scaffold_2096	6926154	6926867	OG0000001	772	0
Tfasc_v1.07069-RA	Scaffold_2096	7354566	7354955	OG0000001	772	0
Tfasc_v1.07090-RA	Scaffold_2096	8051925	8058604	OG0000001	772	0
Tfasc_v1.07150-RA	Scaffold_2096	10503933	10504322	OG0000001	772	0
Tfasc_v1.07151-RA	Scaffold_2096	10509123	10509836	OG0000001	772	0
Tfasc_v1.07174-RA	Scaffold_2096	11698180	11698893	OG0000001	772	0
Tfasc_v1.07177-RA	Scaffold_2096	11902856	11903569	OG0000001	772	0
Tfasc_v1.07179-RA	Scaffold_2096	11968631	11969344	OG0000001	772	0
Tfasc_v1.07182-RA	Scaffold_2096	12062027	12062740	OG0000001	772	0
Tfasc_v1.07193-RA	Scaffold_2096	13035534	13036232	OG0000001	772	0
Tfasc_v1.07196-RA	Scaffold_2096	13192876	13193589	OG0000001	772	0
Tfasc_v1.07203-RA	Scaffold_2096	13565701	13566414	OG0000001	772	0
Tfasc_v1.07206-RA	Scaffold_2096	13970929	13971642	OG0000001	772	0
Tfasc_v1.07220-RA	Scaffold_2096	14507869	14508582	OG0000001	772	0
Tfasc_v1.07231-RA	Scaffold_2096	15230824	15231528	OG0000001	772	0
Tfasc_v1.07234-RA	Scaffold_2096	15362488	15363192	OG0000001	772	0
Tfasc_v1.07236-RA	Scaffold_2096	15439648	15440340	OG0000001	772	0
Tfasc_v1.07279-RA	Scaffold_2096	17276808	17277521	OG0000001	772	0
Tfasc_v1.07280-RA	Scaffold_2096	17286364	17287077	OG0000001	772	0
Tfasc_v1.07326-RA	Scaffold_2096	19967392	19968042	OG0000001	772	0
Tfasc_v1.07339-RA	Scaffold_2096	21020526	21021239	OG0000001	772	0
Tfasc_v1.07389-RA	Scaffold_2096	23007039	23007752	OG0000001	772	0
Tfasc_v1.08146-RA	Scaffold_2315	3380054	3380728	OG0000001	772	0
