Gene_id	orthogroup
Tlei_v1.07811-RA	OG0000302
Tlei_v1.24169-RA	OG0000302
Tlei_v1.24735-RA	OG0000303
Tlei_v1.24881-RA	OG0000303
Tlei_v1.24848-RA	OG0000303
Tlei_v1.25262-RA	OG0000303
Tlei_v1.25280-RA	OG0000303
Tlei_v1.25264-RA	OG0000303
Tlei_v1.24864-RA	OG0000303
Tlei_v1.25257-RA	OG0000303
Tlei_v1.00199-RA	OG0001490
Tlei_v1.04440-RA	OG0016416
Tlei_v1.31270-RA	OG0003643
Tlei_v1.31274-RA	OG0003643
Tlei_v1.31081-RB	OG0003648
Tlei_v1.25299-RA	OG0003648
Tlei_v1.02618-RA	OG0016408
Tlei_v1.15177-RA	OG0016408
Tlei_v1.08478-RA	OG0010696
Tlei_v1.11075-RA	OG0010696
Tlei_v1.12919-RA	OG0003251
Tlei_v1.12914-RA	OG0003251
Tlei_v1.12913-RA	OG0003254
Tlei_v1.13913-RA	OG0002878
Tlei_v1.13912-RA	OG0002878
Tlei_v1.07445-RA	OG0002878
Tlei_v1.07484-RA	OG0002878
Tlei_v1.02885-RA	OG0002878
Tlei_v1.13536-RA	OG0002879
Tlei_v1.15245-RA	OG0002879
Tlei_v1.05106-RA	OG0002879
Tlei_v1.07592-RA	OG0002876
Tlei_v1.14965-RA	OG0002876
Tlei_v1.24691-RA	OG0016534
Tlei_v1.12326-RA	OG0016534
Tlei_v1.18786-RA	OG0016534
Tlei_v1.23298-RA	OG0016536
Tlei_v1.19400-RA	OG0016536
Tlei_v1.22716-RB	OG0000698
Tlei_v1.13195-RA	OG0000698
Tlei_v1.24996-RA	OG0000698
Tlei_v1.12280-RA	OG0000698
Tlei_v1.01085-RA	OG0000699
Tlei_v1.15122-RA	OG0000699
Tlei_v1.23300-RA	OG0000699
Tlei_v1.14056-RA	OG0000699
Tlei_v1.24508-RA	OG0000692
Tlei_v1.24541-RA	OG0000692
Tlei_v1.22900-RA	OG0000692
Tlei_v1.22082-RA	OG0000692
Tlei_v1.03205-RA	OG0000692
Tlei_v1.03388-RA	OG0000692
Tlei_v1.11167-RA	OG0000692
Tlei_v1.10213-RA	OG0000692
Tlei_v1.27383-RA	OG0000693
Tlei_v1.10303-RA	OG0000693
Tlei_v1.08757-RA	OG0000693
Tlei_v1.05710-RB	OG0000691
Tlei_v1.29806-RA	OG0000691
Tlei_v1.24905-RA	OG0000691
Tlei_v1.23426-RA	OG0000691
Tlei_v1.16453-RB	OG0000691
Tlei_v1.04449-RA	OG0000691
Tlei_v1.10202-RA	OG0000691
Tlei_v1.09376-RA	OG0000696
Tlei_v1.21225-RA	OG0000696
Tlei_v1.22644-RA	OG0000696
Tlei_v1.09377-RA	OG0000696
Tlei_v1.12378-RA	OG0000696
Tlei_v1.12415-RB	OG0000697
Tlei_v1.12213-RB	OG0000697
Tlei_v1.27873-RB	OG0000697
Tlei_v1.19382-RA	OG0000697
Tlei_v1.04641-RA	OG0000697
Tlei_v1.21780-RA	OG0000697
Tlei_v1.27869-RA	OG0000697
Tlei_v1.24451-RA	OG0000697
Tlei_v1.10750-RB	OG0000694
Tlei_v1.10518-RA	OG0000694
Tlei_v1.15204-RA	OG0000694
Tlei_v1.31705-RA	OG0000694
Tlei_v1.15499-RA	OG0000694
Tlei_v1.15500-RA	OG0000694
Tlei_v1.15134-RA	OG0000695
Tlei_v1.02462-RA	OG0000695
