Gene_id	orthogroup	CDS_length	exon_count	startcodon	stopcodon	expressed_Tfas	expressed_Tlei	diff_largest_exon_count	diff_longest_CDS
Tlei_v1.07811-RA	OG0000302	1200	3	True	False	True	True	0	1
Tlei_v1.24169-RA	OG0000302	1032	2	True	False	True	True	1	0.86
Tlei_v1.28031-RA	OG0017485	339	1	False	True	False	True	0	1
Tlei_v1.29484-RA	OG0014387	753	3	True	False	True	True	0	1
Tlei_v1.17230-RA	OG0012072	1263	1	True	False	True	True	0	1
Tlei_v1.24735-RA	OG0000303	3834	6	True	False	True	True	7	0.730703259005146
Tlei_v1.24881-RA	OG0000303	4677	4	True	False	True	True	9	0.89136649514008
Tlei_v1.24848-RA	OG0000303	4296	3	True	False	True	True	10	0.818753573470555
Tlei_v1.25262-RA	OG0000303	4014	5	False	False	True	True	8	0.765008576329331
Tlei_v1.25280-RA	OG0000303	4374	13	True	False	True	True	0	0.833619210977702
Tlei_v1.25264-RA	OG0000303	4452	4	True	False	True	True	9	0.848484848484849
Tlei_v1.24864-RA	OG0000303	5247	7	True	False	True	True	6	1
Tlei_v1.25257-RA	OG0000303	4620	9	True	False	True	True	4	0.880503144654088
Tlei_v1.01482-RA	OG0006208	1743	1	True	False	True	True	0	1
Tlei_v1.01480-RA	OG0006207	492	2	True	False	True	True	0	1
Tlei_v1.01494-RA	OG0006206	558	3	True	False	True	True	0	1
Tlei_v1.01508-RA	OG0006205	825	3	False	True	True	True	0	1
Tlei_v1.14432-RA	OG0005005	639	1	True	False	True	True	0	1
Tlei_v1.11406-RA	OG0013470	228	2	True	False	True	True	0	1
Tlei_v1.12598-RA	OG0010921	825	6	True	False	True	True	0	1
Tlei_v1.12618-RA	OG0010923	6900	17	True	False	True	True	0	1
Tlei_v1.12597-RA	OG0010922	615	1	True	False	True	True	0	1
Tlei_v1.12619-RA	OG0010924	420	2	True	False	True	True	0	1
Tlei_v1.12606-RA	OG0010926	774	1	True	False	True	True	0	1
Tlei_v1.14435-RA	OG0005006	423	1	True	False	True	True	0	1
Tlei_v1.12057-RA	OG0017592	414	2	False	True	True	True	0	1
Tlei_v1.27667-RA	OG0015316	726	1	True	False	True	True	0	1
Tlei_v1.31919-RA	OG0017597	801	3	True	False	True	True	0	1
Tlei_v1.01667-RA	OG0006140	1569	1	True	False	True	True	0	1
