name	size	species
Tfas_chr1	32162447	Tfas
Tfas_chr2	31698969	Tfas
Tfas_chr3	31153634	Tfas
Tfas_chr4	30972320	Tfas
Tfas_chr5	30145683	Tfas
Tfas_chr6	29567185	Tfas
Tfas_chr7	27230796	Tfas
Tfas_chr8	27210704	Tfas
Tfas_chr9	26509606	Tfas
Tfas_chr10	26021936	Tfas
Tfas_chr11	25842354	Tfas
Tfas_chr12	25341332	Tfas
Tfas_chr13	24881768	Tfas
Tfas_chr14	24649150	Tfas
Tfas_chr15	23784123	Tfas
Tfas_chr16	23642332	Tfas
Tfas_chr17	21704838	Tfas
Tfas_chr18	21234157	Tfas
Tfas_chr19	19440187	Tfas
Tfas_chr20	19367790	Tfas
Tfas_chr21	18018563	Tfas
Tfas_chr22	17107477	Tfas
Tfas_chr23	16741216	Tfas
Tfas_chr24	13520883	Tfas
Tfas_chr25	12332728	Tfas
Tlei_chr1	60417217	Tlei
Tlei_chr2	57132681	Tlei
Tlei_chr3	55693152	Tlei
Tlei_chr4	55355978	Tlei
Tlei_chr5	54835787	Tlei
Tlei_chr6	52333425	Tlei
Tlei_chr7	52290719	Tlei
Tlei_chr8	51368336	Tlei
Tlei_chr9	50270259	Tlei
Tlei_chr10	48367378	Tlei
Tlei_chr11	45933410	Tlei
Tlei_chr12	43354870	Tlei
Tlei_chr13	39222561	Tlei
Tlei_chr14	38474115	Tlei
Tlei_chr15	34590513	Tlei
Tlei_chr16	30260857	Tlei
Tlei_chr17	28860503	Tlei
Tlei_chr18	26162001	Tlei
Tlei_chr19	20449340	Tlei
Tlei_chr20	18294627	Tlei
Tlei_chr21	11471721	Tlei
Tlei_chr22	10199391	Tlei
Tlei_chr23	9804442	Tlei
Tlei_chr24	8346026	Tlei
Tlei_chr25	1986623	Tlei
Tlei_chr26	991997	Tlei
