"og_id"	"Tfas_length"	"Tlei_length"	"difference"	"diff_per_Tfas"	"diff_per_Tlei"	"completeness"
"OG0000226"	831	2886	2055	2.47292418772563	0.712058212058212	"both complete"
"OG0000269"	399	516	117	0.293233082706767	0.226744186046512	"0 complete"
"OG0000326"	1314	1413	99	0.0753424657534247	0.0700636942675159	"both complete"
"OG0000331"	3957	4056	99	0.0250189537528431	0.0244082840236686	"both complete"
"OG0000360"	2157	1854	-303	-0.140472878998609	-0.163430420711974	"both complete"
"OG0000379"	1377	1371	-6	-0.00435729847494553	-0.00437636761487965	"one complete"
"OG0000408"	1749	1272	-477	-0.272727272727273	-0.375	"one complete"
"OG0000461"	1800	4590	2790	1.55	0.607843137254902	"both complete"
"OG0000515"	678	1527	849	1.25221238938053	0.555992141453831	"one complete"
"OG0000534"	480	267	-213	-0.44375	-0.797752808988764	"both complete"
"OG0000605"	582	873	291	0.5	0.333333333333333	"both complete"
"OG0000614"	750	843	93	0.124	0.110320284697509	"one complete"
"OG0000637"	744	741	-3	-0.00403225806451613	-0.00404858299595142	"one complete"
"OG0000658"	1635	1617	-18	-0.0110091743119266	-0.0111317254174397	"both complete"
"OG0000733"	588	594	6	0.0102040816326531	0.0101010101010101	"one complete"
"OG0000735"	1155	189	-966	-0.836363636363636	-5.11111111111111	"both complete"
"OG0000757"	1224	1224	0	0	0	"both complete"
"OG0000775"	267	408	141	0.528089887640449	0.345588235294118	"one complete"
"OG0000785"	798	975	177	0.221804511278195	0.181538461538462	"both complete"
"OG0000796"	867	771	-96	-0.110726643598616	-0.124513618677043	"one complete"
"OG0000798"	531	447	-84	-0.15819209039548	-0.187919463087248	"one complete"
"OG0000799"	1467	3060	1593	1.08588957055215	0.520588235294118	"both complete"
"OG0000807"	636	633	-3	-0.00471698113207547	-0.004739336492891	"both complete"
"OG0000811"	1341	2403	1062	0.791946308724832	0.441947565543071	"both complete"
"OG0000816"	624	582	-42	-0.0673076923076923	-0.0721649484536082	"one complete"
"OG0000818"	4176	1830	-2346	-0.561781609195402	-1.28196721311475	"both complete"
"OG0000819"	1173	978	-195	-0.166240409207161	-0.199386503067485	"both complete"
"OG0000930"	1605	2127	522	0.325233644859813	0.245416078984485	"both complete"
"OG0000932"	1260	1335	75	0.0595238095238095	0.0561797752808989	"both complete"
"OG0000939"	1737	1716	-21	-0.0120898100172712	-0.0122377622377622	"both complete"
"OG0000940"	2499	2499	0	0	0	"both complete"
"OG0000946"	483	435	-48	-0.0993788819875776	-0.110344827586207	"both complete"
"OG0000988"	672	591	-81	-0.120535714285714	-0.137055837563452	"one complete"
"OG0001024"	930	981	51	0.0548387096774194	0.0519877675840979	"both complete"
"OG0001034"	2109	1860	-249	-0.118065433854908	-0.133870967741935	"both complete"
"OG0001039"	2181	2181	0	0	0	"one complete"
"OG0001057"	363	1095	732	2.01652892561983	0.668493150684932	"both complete"
"OG0001082"	744	741	-3	-0.00403225806451613	-0.00404858299595142	"one complete"
"OG0001085"	1056	813	-243	-0.230113636363636	-0.298892988929889	"both complete"
"OG0001094"	600	597	-3	-0.005	-0.0050251256281407	"one complete"
"OG0001118"	1965	1455	-510	-0.259541984732824	-0.350515463917526	"both complete"
"OG0001128"	942	942	0	0	0	"both complete"
"OG0001138"	2256	2328	72	0.0319148936170213	0.0309278350515464	"one complete"
"OG0001154"	1131	1143	12	0.0106100795755968	0.010498687664042	"both complete"
"OG0001245"	750	747	-3	-0.004	-0.00401606425702811	"one complete"
"OG0001247"	267	264	-3	-0.0112359550561798	-0.0113636363636364	"both complete"
"OG0001250"	927	534	-393	-0.423948220064725	-0.735955056179775	"both complete"
"OG0001255"	306	306	0	0	0	"both complete"
"OG0001260"	921	1332	411	0.446254071661238	0.308558558558559	"both complete"
"OG0001268"	897	1068	171	0.190635451505017	0.160112359550562	"one complete"
"OG0001278"	1584	1710	126	0.0795454545454545	0.0736842105263158	"both complete"
"OG0001282"	975	1308	333	0.341538461538462	0.254587155963303	"one complete"
"OG0001283"	504	504	0	0	0	"both complete"
"OG0001284"	459	192	-267	-0.581699346405229	-1.390625	"both complete"
"OG0001289"	2202	1350	-852	-0.386920980926431	-0.631111111111111	"one complete"
"OG0001294"	1560	1611	51	0.0326923076923077	0.031657355679702	"both complete"
"OG0001296"	954	954	0	0	0	"both complete"
"OG0001298"	1752	1761	9	0.00513698630136986	0.00511073253833049	"both complete"
"OG0001307"	3879	3876	-3	-0.000773395204949729	-0.000773993808049536	"both complete"
"OG0001311"	180	189	9	0.05	0.0476190476190476	"both complete"
"OG0001326"	486	489	3	0.00617283950617284	0.00613496932515337	"one complete"
"OG0001329"	1443	1452	9	0.00623700623700624	0.00619834710743802	"both complete"
"OG0001331"	1503	1503	0	0	0	"both complete"
"OG0001334"	345	348	3	0.00869565217391304	0.00862068965517241	"both complete"
"OG0001339"	1626	1617	-9	-0.00553505535055351	-0.00556586270871985	"both complete"
"OG0001355"	1092	1095	3	0.00274725274725275	0.00273972602739726	"both complete"
"OG0001362"	1257	1044	-213	-0.16945107398568	-0.204022988505747	"both complete"
"OG0001374"	495	549	54	0.109090909090909	0.0983606557377049	"one complete"
"OG0001376"	744	744	0	0	0	"both complete"
"OG0001391"	2223	2097	-126	-0.0566801619433198	-0.0600858369098712	"one complete"
"OG0001394"	1365	1446	81	0.0593406593406593	0.0560165975103734	"one complete"
"OG0001395"	1392	1335	-57	-0.040948275862069	-0.0426966292134831	"both complete"
"OG0001396"	1677	1560	-117	-0.0697674418604651	-0.075	"both complete"
"OG0001401"	1053	1074	21	0.0199430199430199	0.0195530726256983	"both complete"
"OG0001408"	3993	3990	-3	-0.000751314800901578	-0.00075187969924812	"one complete"
"OG0001434"	681	681	0	0	0	"both complete"
"OG0001451"	615	564	-51	-0.0829268292682927	-0.0904255319148936	"one complete"
"OG0001452"	1305	1014	-291	-0.222988505747126	-0.28698224852071	"both complete"
"OG0001453"	1434	1443	9	0.00627615062761506	0.00623700623700624	"both complete"
"OG0001457"	1119	1194	75	0.0670241286863271	0.0628140703517588	"both complete"
"OG0001461"	999	999	0	0	0	"both complete"
"OG0001468"	489	498	9	0.0184049079754601	0.0180722891566265	"one complete"
"OG0001476"	1287	1233	-54	-0.041958041958042	-0.0437956204379562	"both complete"
"OG0001477"	1452	1458	6	0.00413223140495868	0.00411522633744856	"both complete"
"OG0001479"	1998	2184	186	0.0930930930930931	0.0851648351648352	"both complete"
"OG0001488"	1431	1338	-93	-0.0649895178197065	-0.0695067264573991	"one complete"
"OG0001491"	1158	1389	231	0.199481865284974	0.166306695464363	"both complete"
"OG0001505"	882	726	-156	-0.17687074829932	-0.214876033057851	"one complete"
"OG0001508"	1116	1107	-9	-0.00806451612903226	-0.00813008130081301	"both complete"
"OG0001509"	1062	1098	36	0.0338983050847458	0.0327868852459016	"one complete"
"OG0001521"	1041	1041	0	0	0	"both complete"
"OG0001531"	951	960	9	0.00946372239747634	0.009375	"both complete"
"OG0001538"	3033	3033	0	0	0	"both complete"
"OG0001539"	288	357	69	0.239583333333333	0.19327731092437	"both complete"
"OG0001555"	2988	2988	0	0	0	"both complete"
"OG0001567"	1395	2211	816	0.58494623655914	0.369063772048847	"one complete"
"OG0001574"	1464	1440	-24	-0.0163934426229508	-0.0166666666666667	"both complete"
"OG0001580"	1401	1392	-9	-0.00642398286937901	-0.00646551724137931	"both complete"
"OG0001588"	1125	1038	-87	-0.0773333333333333	-0.0838150289017341	"both complete"
"OG0001591"	378	603	225	0.595238095238095	0.373134328358209	"one complete"
"OG0001595"	462	477	15	0.0324675324675325	0.0314465408805031	"both complete"
"OG0001597"	708	708	0	0	0	"both complete"
"OG0001609"	1329	1329	0	0	0	"both complete"
"OG0001630"	1584	1593	9	0.00568181818181818	0.00564971751412429	"both complete"
"OG0001639"	657	618	-39	-0.0593607305936073	-0.0631067961165049	"one complete"
"OG0001642"	939	936	-3	-0.00319488817891374	-0.00320512820512821	"one complete"
"OG0001643"	627	630	3	0.00478468899521531	0.00476190476190476	"one complete"
"OG0001670"	411	459	48	0.116788321167883	0.104575163398693	"one complete"
"OG0001671"	459	339	-120	-0.261437908496732	-0.353982300884956	"one complete"
"OG0001697"	387	414	27	0.0697674418604651	0.0652173913043478	"both complete"
"OG0001719"	819	789	-30	-0.0366300366300366	-0.0380228136882129	"both complete"
"OG0001724"	1410	1437	27	0.0191489361702128	0.0187891440501044	"both complete"
"OG0001731"	1560	2208	648	0.415384615384615	0.293478260869565	"both complete"
"OG0001860"	390	387	-3	-0.00769230769230769	-0.00775193798449612	"one complete"
"OG0001861"	1497	1497	0	0	0	"both complete"
"OG0001864"	432	432	0	0	0	"both complete"
"OG0001866"	918	915	-3	-0.00326797385620915	-0.00327868852459016	"one complete"
"OG0001867"	966	966	0	0	0	"both complete"
"OG0001870"	516	585	69	0.133720930232558	0.117948717948718	"one complete"
"OG0001876"	270	267	-3	-0.0111111111111111	-0.0112359550561798	"both complete"
"OG0001877"	903	903	0	0	0	"both complete"
"OG0001880"	879	867	-12	-0.0136518771331058	-0.013840830449827	"both complete"
"OG0001886"	1947	2028	81	0.0416024653312789	0.0399408284023669	"both complete"
"OG0001889"	1002	1125	123	0.122754491017964	0.109333333333333	"both complete"
"OG0001894"	2061	1965	-96	-0.0465793304221252	-0.0488549618320611	"one complete"
"OG0001896"	963	960	-3	-0.00311526479750779	-0.003125	"both complete"
"OG0001897"	1305	1302	-3	-0.00229885057471264	-0.00230414746543779	"one complete"
"OG0001898"	1494	1509	15	0.0100401606425703	0.0099403578528827	"both complete"
"OG0001901"	2565	2703	138	0.0538011695906433	0.051054384017758	"both complete"
"OG0001903"	1143	1140	-3	-0.0026246719160105	-0.00263157894736842	"both complete"
"OG0001904"	777	999	222	0.285714285714286	0.222222222222222	"both complete"
"OG0001909"	606	501	-105	-0.173267326732673	-0.209580838323353	"one complete"
"OG0001910"	1578	1515	-63	-0.0399239543726236	-0.0415841584158416	"one complete"
"OG0001912"	222	270	48	0.216216216216216	0.177777777777778	"one complete"
"OG0001917"	951	951	0	0	0	"both complete"
"OG0001923"	1377	1437	60	0.0435729847494553	0.0417536534446764	"both complete"
"OG0001925"	1047	1164	117	0.111747851002865	0.100515463917526	"one complete"
"OG0001927"	792	828	36	0.0454545454545455	0.0434782608695652	"both complete"
"OG0001931"	558	561	3	0.00537634408602151	0.0053475935828877	"0 complete"
"OG0001935"	1536	1467	-69	-0.044921875	-0.0470347648261759	"one complete"
"OG0001937"	555	528	-27	-0.0486486486486487	-0.0511363636363636	"one complete"
"OG0001938"	2031	1947	-84	-0.0413589364844904	-0.0431432973805855	"one complete"
"OG0001940"	495	588	93	0.187878787878788	0.158163265306122	"both complete"
"OG0001941"	693	699	6	0.00865800865800866	0.00858369098712446	"both complete"
"OG0001942"	786	786	0	0	0	"both complete"
"OG0001948"	603	513	-90	-0.149253731343284	-0.175438596491228	"one complete"
"OG0001953"	258	321	63	0.244186046511628	0.196261682242991	"both complete"
"OG0001954"	2259	2268	9	0.00398406374501992	0.00396825396825397	"both complete"
