"gene_id" "median_cov" "mean_cov" "og_id" "Acom_count" "Tfas_count" "Tlei_count" "duplicated"
"1" "Tfasc_v1.03784-RA" 26 25.3923444976077 "OG0000302" 0 10 4 "multi-copy"
"2" "Tfasc_v1.06848-RA" 34 31.8364839319471 "OG0000302" 0 10 4 "multi-copy"
"3" "Tfasc_v1.25708-RA" 24 23.8629489603025 "OG0000302" 0 10 4 "multi-copy"
"5" "Tfasc_v1.30140-RA" 31 32.5872667398463 "OG0000302" 0 10 4 "multi-copy"
"6" "Tfasc_v1.02729-RA" 18 18.4756871035941 "OG0000302" 0 10 4 "multi-copy"
"8" "Tfasc_v1.04332-RA" 21 25.4882926829268 "OG0000302" 0 10 4 "multi-copy"
"9" "Tfasc_v1.24927-RA" 24 20.7238979118329 "OG0000302" 0 10 4 "multi-copy"
"10" "Tfasc_v1.14765-RA" 28 30.7177142857143 "OG0000302" 0 10 4 "multi-copy"
"24" "Tfasc_v1.10635-RA" 29 30.6726510067114 "OG0000303" 0 4 10 "multi-copy"
"25" "Tfasc_v1.10688-RA" 26 27.8982496319319 "OG0000303" 0 4 10 "multi-copy"
"26" "Tfasc_v1.10148-RA" 19 19.5608612606355 "OG0000303" 0 4 10 "multi-copy"
"79" "Tfasc_v1.21934-RA" 32 30.6440339490764 "OG0016180" 0 2 1 "multi-copy"
"80" "Tfasc_v1.21936-RA" 30 31.0169745381927 "OG0016180" 0 2 1 "multi-copy"
"110" "Tfasc_v1.24213-RA" 18 20.2262958280657 "OG0008876" 1 2 0 "multi-copy"
"111" "Tfasc_v1.24214-RA" 13 13.4619336758524 "OG0008876" 1 2 0 "multi-copy"
"144" "Tfasc_v1.19380-RA" 21 22.1466876971609 "OG0004167" 1 2 1 "multi-copy"
"145" "Tfasc_v1.19376-RA" 18 18.0990320178704 "OG0004167" 1 2 1 "multi-copy"
"172" "Tfasc_v1.24998-RA" 34 32.3042378241619 "OG0001496" 3 2 1 "multi-copy"
"175" "Tfasc_v1.25071-RA" 29 30.2508710801394 "OG0001494" 1 3 2 "multi-copy"
"176" "Tfasc_v1.25070-RA" 24 23.4064748201439 "OG0001494" 1 3 2 "multi-copy"
"177" "Tfasc_v1.23603-RA" 33 33.0275862068966 "OG0001494" 1 3 2 "multi-copy"
"185" "Tfasc_v1.04272-RA" 27 28.4449877750611 "OG0007632" 1 2 0 "multi-copy"
"186" "Tfasc_v1.28571-RA" 25 29.1403422982885 "OG0007632" 1 2 0 "multi-copy"
"207" "Tfasc_v1.03849-RA" 10 9.95479115479115 "OG0005169" 1 2 1 "multi-copy"
"208" "Tfasc_v1.03852-RA" 20 21.6671568627451 "OG0005169" 1 2 1 "multi-copy"
"209" "Tfasc_v1.12631-RA" 16 15.8936170212766 "OG0005167" 1 2 1 "multi-copy"
"210" "Tfasc_v1.12630-RA" 19 18.1821026282854 "OG0005167" 1 2 1 "multi-copy"
"211" "Tfasc_v1.19032-RA" 19 18.495951417004 "OG0005166" 1 2 1 "multi-copy"
"212" "Tfasc_v1.19031-RA" 20 20.7321204516939 "OG0005166" 1 2 1 "multi-copy"
"214" "Tfasc_v1.24916-RA" 30 28.8882456986654 "OG0005165" 1 2 1 "multi-copy"
"216" "Tfasc_v1.07383-RA" 26 25.4467308330568 "OG0005163" 1 2 1 "multi-copy"
"218" "Tfasc_v1.07402-RA" 22 21.8538665808321 "OG0005162" 1 2 1 "multi-copy"
"219" "Tfasc_v1.07399-RA" 22 21.5638747884941 "OG0005162" 1 2 1 "multi-copy"
"230" "Tfasc_v1.02437-RA" 13 12.8316831683168 "OG0004785" 1 2 1 "multi-copy"
"231" "Tfasc_v1.02439-RA" 16 17.2271562766866 "OG0004785" 1 2 1 "multi-copy"
"232" "Tfasc_v1.02498-RA" 16 16.5991337824832 "OG0004786" 1 2 1 "multi-copy"
"233" "Tfasc_v1.02460-RA" 16 16.4800970873786 "OG0004786" 1 2 1 "multi-copy"
"234" "Tfasc_v1.02503-RA" 10 9.77704918032787 "OG0004787" 1 2 1 "multi-copy"
"235" "Tfasc_v1.02501-RA" 20 20.0629075565784 "OG0004787" 1 2 1 "multi-copy"
"242" "Tfasc_v1.02528-RA" 23 23.2333616539224 "OG0004788" 1 2 1 "multi-copy"
"243" "Tfasc_v1.02524-RA" 22 20.1879725085911 "OG0004788" 1 2 1 "multi-copy"
"244" "Tfasc_v1.01015-RA" 17 17.3183292781833 "OG0004789" 1 2 1 "multi-copy"
"245" "Tfasc_v1.02519-RA" 23 27.2336321651725 "OG0004789" 1 2 1 "multi-copy"
"276" "Tfasc_v1.21080-RA" 21 21.9410302229819 "OG0004045" 1 2 1 "multi-copy"
"277" "Tfasc_v1.21079-RA" 23 26.6570675030294 "OG0004045" 1 2 1 "multi-copy"
"309" "Tfasc_v1.22776-RA" 14 14.225 "OG0003646" 1 2 1 "multi-copy"
"310" "Tfasc_v1.22778-RA" 9 10.12875 "OG0003646" 1 2 1 "multi-copy"
"311" "Tfasc_v1.29748-RA" 21 20.1091101694915 "OG0003647" 1 2 1 "multi-copy"
