Category	ID	Term	adj_pval	Orthogroups	Genes
BP	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	1.8e-09	OG0001045, OG0006481, OG0000741, OG0000760, OG0001637, OG0019116, OG0015493, OG0007129, OG0001257, OG0001885, OG0004441, OG0010119, OG0002265	Tfasc_v1.00127, Tfasc_v1.01218, Tfasc_v1.02143, Tfasc_v1.03367, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.07896, Tfasc_v1.08867, Tfasc_v1.11228, Tfasc_v1.14262, Tfasc_v1.14416, Tfasc_v1.15893, Tfasc_v1.20296, Tfasc_v1.21421, Tfasc_v1.26845, Tfasc_v1.27720, Tfasc_v1.28604
BP	GO:0006891	intra-Golgi vesicle-mediated transport	3.4e-08	OG0001045, OG0012668, OG0000741, OG0018453, OG0001637, OG0019116, OG0013482, OG0001257, OG0001449, OG0013023, OG0000812, OG0016892, OG0010119, OG0002265	Tfasc_v1.00127, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.05321, Tfasc_v1.06592, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.11228, Tfasc_v1.11677, Tfasc_v1.14262, Tfasc_v1.17668, Tfasc_v1.20296, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.23996, Tfasc_v1.24123, Tfasc_v1.26845, Tfasc_v1.28604
BP	GO:0006886	intracellular protein transport	7e-08	OG0001045, OG0011656, OG0001949, OG0012668, OG0000741, OG0001653, OG0001752, OG0005074, OG0003820, OG0009818, OG0001167, OG0008652, OG0000999, OG0002524, OG0013548, OG0013539, OG0006128, OG0015544, OG0001093, OG0001637, OG0019116, OG0010418, OG0001291, OG0007129, OG0008439, OG0016858, OG0002091, OG0013399, OG0018063, OG0000018, OG0013209, OG0010868, OG0002488, OG0013975, OG0001264, OG0004347, OG0001691, OG0005797, OG0005852, OG0001257, OG0005948, OG0000763, OG0008098, OG0008135, OG0009693, OG0009055, OG0011404, OG0003423, OG0017572, OG0014458, OG0010129, OG0014873, OG0015808, OG0016812, OG0000198, OG0012226, OG0004417, OG0007435, OG0017215, OG0011570, OG0011482, OG0011860, OG0013023, OG0000812, OG0000769, OG0000623, OG0015438, OG0010000, OG0005382, OG0002699, OG0000317, OG0006836, OG0019586, OG0014862, OG0002265, OG0009245, OG0009422	Tfasc_v1.00127, Tfasc_v1.00241, Tfasc_v1.01425, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.02171, Tfasc_v1.02256, Tfasc_v1.02325, Tfasc_v1.03049, Tfasc_v1.03052, Tfasc_v1.03425, Tfasc_v1.04350, Tfasc_v1.04738, Tfasc_v1.05572, Tfasc_v1.06116, Tfasc_v1.06124, Tfasc_v1.06406, Tfasc_v1.06526, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.07712, Tfasc_v1.08630, Tfasc_v1.08867, Tfasc_v1.09287, Tfasc_v1.09447, Tfasc_v1.09448, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.10695, Tfasc_v1.11033, Tfasc_v1.11228, Tfasc_v1.11279, Tfasc_v1.11326, Tfasc_v1.12276, Tfasc_v1.12346, Tfasc_v1.12444, Tfasc_v1.12982, Tfasc_v1.13976, Tfasc_v1.14148, Tfasc_v1.14262, Tfasc_v1.14312, Tfasc_v1.14413, Tfasc_v1.15198, Tfasc_v1.15295, Tfasc_v1.16144, Tfasc_v1.16527, Tfasc_v1.17213, Tfasc_v1.17337, Tfasc_v1.17371, Tfasc_v1.17454, Tfasc_v1.17478, Tfasc_v1.17825, Tfasc_v1.18610, Tfasc_v1.20296, Tfasc_v1.20396, Tfasc_v1.21153, Tfasc_v1.21336, Tfasc_v1.21501, Tfasc_v1.22464, Tfasc_v1.22924, Tfasc_v1.22941, Tfasc_v1.23111, Tfasc_v1.23370, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.25115, Tfasc_v1.25212, Tfasc_v1.25905, Tfasc_v1.26612, Tfasc_v1.27400, Tfasc_v1.27476, Tfasc_v1.27630, Tfasc_v1.27794, Tfasc_v1.28217, Tfasc_v1.28319, Tfasc_v1.28604, Tfasc_v1.29307, Tfasc_v1.30245
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	8.2e-08	OG0006481, OG0012668, OG0000760, OG0013548, OG0001637, OG0001291, OG0007129, OG0001691, OG0001257, OG0001885, OG0004223, OG0016812, OG0012226, OG0017215, OG0011570, OG0013023, OG0000812, OG0016899, OG0010000, OG0010119, OG0005382, OG0000317, OG0006898, OG0019586, OG0002265, OG0009245	Tfasc_v1.01218, Tfasc_v1.02018, Tfasc_v1.03367, Tfasc_v1.06116, Tfasc_v1.06683, Tfasc_v1.08630, Tfasc_v1.08867, Tfasc_v1.11228, Tfasc_v1.12982, Tfasc_v1.14262, Tfasc_v1.14416, Tfasc_v1.18252, Tfasc_v1.20396, Tfasc_v1.21336, Tfasc_v1.21421, Tfasc_v1.22924, Tfasc_v1.22941, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.24164, Tfasc_v1.26612, Tfasc_v1.26845, Tfasc_v1.27400, Tfasc_v1.27630, Tfasc_v1.27691, Tfasc_v1.27720, Tfasc_v1.28217, Tfasc_v1.28604, Tfasc_v1.29307
BP	GO:0007030	Golgi organization	2.8e-05	OG0006474, OG0018453, OG0013548, OG0001291, OG0003223, OG0016812, OG0017215, OG0016892, OG0019586	Tfasc_v1.01198, Tfasc_v1.05321, Tfasc_v1.06116, Tfasc_v1.08630, Tfasc_v1.08939, Tfasc_v1.20396, Tfasc_v1.22924, Tfasc_v1.23996, Tfasc_v1.28217
BP	GO:0035352	NAD transmembrane transport	0.00064	OG0013397, OG0018067, OG0006924	Tfasc_v1.10248, Tfasc_v1.10251, Tfasc_v1.27601
BP	GO:0048211	Golgi vesicle docking	0.00064	OG0001449, OG0010000	Tfasc_v1.17668, Tfasc_v1.24123, Tfasc_v1.26612
BP	GO:0072657	protein localization to membrane	0.00065	OG0011656, OG0000999, OG0002003, OG0006128, OG0010418, OG0011107, OG0000597, OG0013399, OG0018063, OG0000018, OG0002488, OG0005797, OG0008098, OG0017572, OG0001449, OG0010223, OG0014873, OG0011860, OG0000623, OG0001020, OG0003735, OG0014862, OG0001357	Tfasc_v1.00241, Tfasc_v1.04738, Tfasc_v1.06358, Tfasc_v1.06406, Tfasc_v1.07712, Tfasc_v1.08013, Tfasc_v1.08563, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.11326, Tfasc_v1.13976, Tfasc_v1.15198, Tfasc_v1.17371, Tfasc_v1.17668, Tfasc_v1.17678, Tfasc_v1.17825, Tfasc_v1.23370, Tfasc_v1.24123, Tfasc_v1.25212, Tfasc_v1.25251, Tfasc_v1.25306, Tfasc_v1.26723, Tfasc_v1.28319, Tfasc_v1.30069
BP	GO:0009423	chorismate biosynthetic process	0.00071	OG0015499, OG0004401, OG0012246, OG0000719	Tfasc_v1.07894, Tfasc_v1.20894, Tfasc_v1.21265, Tfasc_v1.23078
BP	GO:0032482	Rab protein signal transduction	0.00087	OG0000741, OG0003820, OG0001093, OG0013975, OG0005948, OG0009693, OG0015438	Tfasc_v1.02143, Tfasc_v1.03049, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.11279, Tfasc_v1.12276, Tfasc_v1.14312, Tfasc_v1.16144, Tfasc_v1.20296, Tfasc_v1.25905
BP	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.00238	OG0006456, OG0009685, OG0007834	Tfasc_v1.01160, Tfasc_v1.16136, Tfasc_v1.20412
BP	GO:0043001	Golgi to plasma membrane protein transport	0.00238	OG0001449, OG0010223	Tfasc_v1.17668, Tfasc_v1.17678, Tfasc_v1.24123
BP	GO:1902047	polyamine transmembrane transport	0.00238	OG0010707, OG0001074	Tfasc_v1.12047, Tfasc_v1.22984, Tfasc_v1.23004
BP	GO:0045046	protein import into peroxisome membrane	0.00238	OG0013399, OG0018063, OG0000018	Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193
BP	GO:0050684	regulation of mRNA processing	0.00286	OG0018348, OG0012596, OG0012512, OG0006278, OG0011076, OG0013715, OG0002052, OG0012220, OG0008877, OG0019613	Tfasc_v1.00160, Tfasc_v1.01865, Tfasc_v1.04921, Tfasc_v1.05974, Tfasc_v1.08056, Tfasc_v1.18474, Tfasc_v1.20524, Tfasc_v1.21349, Tfasc_v1.24220, Tfasc_v1.28647
BP	GO:0031204	posttranslational protein targeting to membrane, translocation	0.00288	OG0006128, OG0002488, OG0011860, OG0000623	Tfasc_v1.06406, Tfasc_v1.11326, Tfasc_v1.23370, Tfasc_v1.25212
BP	GO:0006487	protein N-linked glycosylation	0.00515	OG0006533, OG0002630, OG0017977, OG0006128, OG0002253, OG0001473, OG0004417, OG0011976, OG0002397, OG0006992, OG0006852, OG0009159	Tfasc_v1.01320, Tfasc_v1.01753, Tfasc_v1.04313, Tfasc_v1.06406, Tfasc_v1.07612, Tfasc_v1.12581, Tfasc_v1.21501, Tfasc_v1.21707, Tfasc_v1.23327, Tfasc_v1.27263, Tfasc_v1.27770, Tfasc_v1.29791, Tfasc_v1.29832
BP	GO:0030968	endoplasmic reticulum unfolded protein response	0.00526	OG0006485, OG0000429, OG0001376, OG0003329, OG0002397, OG0016020	Tfasc_v1.01224, Tfasc_v1.03383, Tfasc_v1.11052, Tfasc_v1.19951, Tfasc_v1.23327, Tfasc_v1.28831, Tfasc_v1.29892
BP	GO:0006108	malate metabolic process	0.00542	OG0001548, OG0017380, OG0000993, OG0014560, OG0001952	Tfasc_v1.07635, Tfasc_v1.11308, Tfasc_v1.16250, Tfasc_v1.18649, Tfasc_v1.27564, Tfasc_v1.27568
BP	GO:0046488	phosphatidylinositol metabolic process	0.00555	OG0011622, OG0012604, OG0004989, OG0007116, OG0014668, OG0009682, OG0013815, OG0015123, OG0019524, OG0007374, OG0015169, OG0009966	Tfasc_v1.00125, Tfasc_v1.01879, Tfasc_v1.03105, Tfasc_v1.08832, Tfasc_v1.15444, Tfasc_v1.16130, Tfasc_v1.16777, Tfasc_v1.16779, Tfasc_v1.19757, Tfasc_v1.22587, Tfasc_v1.23406, Tfasc_v1.26528
BP	GO:0018344	protein geranylgeranylation	0.00557	OG0006090, OG0008126, OG0003763	Tfasc_v1.06433, Tfasc_v1.15279, Tfasc_v1.25014
BP	GO:0006099	tricarboxylic acid cycle	0.00585	OG0004478, OG0000772, OG0001548, OG0000507, OG0001440, OG0001397, OG0014560, OG0001952	Tfasc_v1.04197, Tfasc_v1.06769, Tfasc_v1.07635, Tfasc_v1.09620, Tfasc_v1.11717, Tfasc_v1.15089, Tfasc_v1.18649, Tfasc_v1.26930, Tfasc_v1.27564, Tfasc_v1.27568
BP	GO:0033674	positive regulation of kinase activity	0.00737	OG0017963, OG0010375, OG0010713, OG0002912, OG0014367, OG0012005, OG0015169, OG0009137, OG0015334	Tfasc_v1.04099, Tfasc_v1.07828, Tfasc_v1.12032, Tfasc_v1.13855, Tfasc_v1.19649, Tfasc_v1.21633, Tfasc_v1.23406, Tfasc_v1.29726, Tfasc_v1.30498
BP	GO:0006895	Golgi to endosome transport	0.0074	OG0010223, OG0015850	Tfasc_v1.17678, Tfasc_v1.18522
BP	GO:0048358	mucilage pectin biosynthetic process	0.0074	OG0011950, OG0010642	Tfasc_v1.23184, Tfasc_v1.26983
BP	GO:0006024	glycosaminoglycan biosynthetic process	0.0074	OG0000976	Tfasc_v1.04684, Tfasc_v1.23212
BP	GO:0006567	threonine catabolic process	0.0074	OG0014018, OG0015171	Tfasc_v1.03116, Tfasc_v1.23397
BP	GO:0006106	fumarate metabolic process	0.0074	OG0001952	Tfasc_v1.27564, Tfasc_v1.27568
BP	GO:0009094	L-phenylalanine biosynthetic process	0.00752	OG0004112, OG0013033, OG0015059, OG0009282	Tfasc_v1.10858, Tfasc_v1.13163, Tfasc_v1.22844, Tfasc_v1.29919
BP	GO:0006102	isocitrate metabolic process	0.00752	OG0000772, OG0000507, OG0001397	Tfasc_v1.06769, Tfasc_v1.09620, Tfasc_v1.15089, Tfasc_v1.26930
BP	GO:0033962	P-body assembly	0.01043	OG0005531, OG0016710	Tfasc_v1.07756, Tfasc_v1.21518, Tfasc_v1.27529
BP	GO:0090110	COPII-coated vesicle cargo loading	0.01043	OG0011570, OG0005382, OG0009245	Tfasc_v1.22941, Tfasc_v1.27400, Tfasc_v1.29307
BP	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.01043	OG0013539, OG0010418, OG0011482	Tfasc_v1.06124, Tfasc_v1.07712, Tfasc_v1.23111
BP	GO:0015867	ATP transport	0.01512	OG0013397, OG0018067, OG0001607, OG0004297, OG0014930, OG0015010, OG0007789, OG0001422, OG0006924	Tfasc_v1.10248, Tfasc_v1.10251, Tfasc_v1.12398, Tfasc_v1.13125, Tfasc_v1.14557, Tfasc_v1.14760, Tfasc_v1.20293, Tfasc_v1.24210, Tfasc_v1.27601
BP	GO:0015031	protein transport	0.01513	OG0001045, OG0011656, OG0001949, OG0012668, OG0000741, OG0001653, OG0001752, OG0005074, OG0003820, OG0009818, OG0000760, OG0001167, OG0008652, OG0000999, OG0001749, OG0002524, OG0013548, OG0013539, OG0006128, OG0015544, OG0001093, OG0001637, OG0019116, OG0010418, OG0001291, OG0007129, OG0008439, OG0016858, OG0002091, OG0013399, OG0018063, OG0000018, OG0013209, OG0010868, OG0002488, OG0001261, OG0013975, OG0001264, OG0004347, OG0001691, OG0005797, OG0005852, OG0001257, OG0005948, OG0000763, OG0008098, OG0008135, OG0009693, OG0009055, OG0011404, OG0003423, OG0017572, OG0014458, OG0010129, OG0001449, OG0010223, OG0014873, OG0012930, OG0015808, OG0001722, OG0016812, OG0000198, OG0012226, OG0004417, OG0007435, OG0017215, OG0011570, OG0011482, OG0011860, OG0013023, OG0000812, OG0002113, OG0016892, OG0016899, OG0000769, OG0000623, OG0001489, OG0015438, OG0010000, OG0010079, OG0010119, OG0005382, OG0002699, OG0000317, OG0006836, OG0019586, OG0014862, OG0002265, OG0002256, OG0009245, OG0009411, OG0009422	Tfasc_v1.00127, Tfasc_v1.00241, Tfasc_v1.01425, Tfasc_v1.02018, Tfasc_v1.02143, Tfasc_v1.02171, Tfasc_v1.02256, Tfasc_v1.02325, Tfasc_v1.03049, Tfasc_v1.03052, Tfasc_v1.03367, Tfasc_v1.03425, Tfasc_v1.04350, Tfasc_v1.04738, Tfasc_v1.05436, Tfasc_v1.05572, Tfasc_v1.06116, Tfasc_v1.06124, Tfasc_v1.06406, Tfasc_v1.06526, Tfasc_v1.06592, Tfasc_v1.06650, Tfasc_v1.06683, Tfasc_v1.07614, Tfasc_v1.07712, Tfasc_v1.08630, Tfasc_v1.08867, Tfasc_v1.09287, Tfasc_v1.09447, Tfasc_v1.09448, Tfasc_v1.10183, Tfasc_v1.10184, Tfasc_v1.10193, Tfasc_v1.10695, Tfasc_v1.11033, Tfasc_v1.11228, Tfasc_v1.11279, Tfasc_v1.11326, Tfasc_v1.12255, Tfasc_v1.12276, Tfasc_v1.12346, Tfasc_v1.12444, Tfasc_v1.12982, Tfasc_v1.13976, Tfasc_v1.14148, Tfasc_v1.14262, Tfasc_v1.14312, Tfasc_v1.14413, Tfasc_v1.15198, Tfasc_v1.15295, Tfasc_v1.16144, Tfasc_v1.16527, Tfasc_v1.17213, Tfasc_v1.17337, Tfasc_v1.17371, Tfasc_v1.17454, Tfasc_v1.17478, Tfasc_v1.17668, Tfasc_v1.17678, Tfasc_v1.17825, Tfasc_v1.18409, Tfasc_v1.18610, Tfasc_v1.19252, Tfasc_v1.20296, Tfasc_v1.20396, Tfasc_v1.21153, Tfasc_v1.21336, Tfasc_v1.21421, Tfasc_v1.21501, Tfasc_v1.22464, Tfasc_v1.22924, Tfasc_v1.22941, Tfasc_v1.23111, Tfasc_v1.23370, Tfasc_v1.23656, Tfasc_v1.23713, Tfasc_v1.23950, Tfasc_v1.23996, Tfasc_v1.24123, Tfasc_v1.24164, Tfasc_v1.25115, Tfasc_v1.25212, Tfasc_v1.25363, Tfasc_v1.25905, Tfasc_v1.26612, Tfasc_v1.26774, Tfasc_v1.26845, Tfasc_v1.27400, Tfasc_v1.27476, Tfasc_v1.27630, Tfasc_v1.27794, Tfasc_v1.28217, Tfasc_v1.28319, Tfasc_v1.28604, Tfasc_v1.28713, Tfasc_v1.29307, Tfasc_v1.30182, Tfasc_v1.30245
BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	0.01554	OG0012682, OG0005749, OG0008070, OG0008132, OG0003733	Tfasc_v1.12609, Tfasc_v1.14100, Tfasc_v1.15153, Tfasc_v1.15289, Tfasc_v1.25297
BP	GO:0009056	catabolic process	0.01579	OG0004203, OG0000728, OG0017233, OG0011272, OG0006456, OG0006485, OG0003118, OG0012662, OG0013374, OG0001508, OG0009817, OG0009803, OG0009799, OG0014018, OG0000435, OG0000429, OG0001167, OG0004796, OG0003531, OG0008574, OG0008720, OG0012511, OG0004535, OG0012449, OG0015142, OG0015881, OG0006312, OG0013539, OG0006227, OG0012316, OG0012382, OG0012838, OG0000640, OG0013146, OG0002253, OG0010418, OG0010372, OG0005347, OG0013665, OG0003207, OG0007116, OG0003223, OG0007206, OG0007216, OG0007228, OG0000107, OG0008429, OG0018009, OG0003445, OG0001099, OG0010965, OG0010868, OG0001376, OG0010822, OG0010734, OG0013922, OG0001325, OG0004347, OG0012682, OG0015266, OG0015136, OG0005724, OG0002929, OG0005749, OG0005934, OG0005960, OG0001444, OG0007985, OG0008070, OG0003421, OG0008119, OG0008132, OG0008164, OG0003783, OG0009685, OG0000952, OG0009787, OG0016914, OG0015341, OG0017186, OG0011329, OG0011342, OG0019128, OG0015808, OG0014577, OG0014582, OG0019140, OG0014587, OG0002036, OG0007834, OG0004465, OG0018567, OG0018577, OG0014757, OG0015117, OG0007430, OG0003272, OG0003269, OG0000498, OG0011482, OG0015171, OG0000837, OG0008938, OG0008954, OG0012761, OG0009625, OG0016984, OG0009565, OG0000769, OG0009547, OG0001493, OG0003733, OG0001465, OG0001331, OG0010100, OG0010114, OG0015728, OG0006990, OG0016710, OG0006935, OG0006836, OG0006705, OG0001721, OG0010549, OG0001553, OG0010585, OG0010277, OG0019637, OG0003674, OG0003644, OG0009137, OG0009381, OG0015334, OG0004809	Tfasc_v1.00089, Tfasc_v1.00182, Tfasc_v1.00264, Tfasc_v1.00808, Tfasc_v1.01160, Tfasc_v1.01224, Tfasc_v1.01621, Tfasc_v1.01993, Tfasc_v1.02565, Tfasc_v1.02941, Tfasc_v1.03058, Tfasc_v1.03075, Tfasc_v1.03079, Tfasc_v1.03116, Tfasc_v1.03133, Tfasc_v1.03383, Tfasc_v1.03425, Tfasc_v1.03727, Tfasc_v1.03736, Tfasc_v1.04357, Tfasc_v1.04509, Tfasc_v1.04800, Tfasc_v1.04920, Tfasc_v1.04949, Tfasc_v1.05072, Tfasc_v1.05300, Tfasc_v1.05438, Tfasc_v1.05909, Tfasc_v1.06124, Tfasc_v1.06150, Tfasc_v1.06706, Tfasc_v1.06809, Tfasc_v1.06890, Tfasc_v1.07404, Tfasc_v1.07549, Tfasc_v1.07612, Tfasc_v1.07712, Tfasc_v1.07834, Tfasc_v1.07876, Tfasc_v1.07996, Tfasc_v1.08735, Tfasc_v1.08832, Tfasc_v1.08939, Tfasc_v1.09016, Tfasc_v1.09027, Tfasc_v1.09052, Tfasc_v1.09121, Tfasc_v1.09298, Tfasc_v1.09349, Tfasc_v1.09787, Tfasc_v1.10555, Tfasc_v1.10856, Tfasc_v1.11033, Tfasc_v1.11052, Tfasc_v1.11822, Tfasc_v1.12002, Tfasc_v1.12131, Tfasc_v1.12259, Tfasc_v1.12444, Tfasc_v1.12609, Tfasc_v1.13330, Tfasc_v1.13453, Tfasc_v1.13848, Tfasc_v1.13981, Tfasc_v1.14100, Tfasc_v1.14274, Tfasc_v1.14337, Tfasc_v1.14666, Tfasc_v1.15000, Tfasc_v1.15153, Tfasc_v1.15184, Tfasc_v1.15238, Tfasc_v1.15289, Tfasc_v1.15531, Tfasc_v1.16075, Tfasc_v1.16136, Tfasc_v1.16291, Tfasc_v1.16315, Tfasc_v1.16336, Tfasc_v1.16699, Tfasc_v1.16885, Tfasc_v1.17651, Tfasc_v1.18227, Tfasc_v1.18267, Tfasc_v1.18282, Tfasc_v1.18400, Tfasc_v1.18610, Tfasc_v1.18697, Tfasc_v1.18721, Tfasc_v1.18748, Tfasc_v1.18750, Tfasc_v1.19996, Tfasc_v1.20412, Tfasc_v1.21311, Tfasc_v1.21315, Tfasc_v1.21417, Tfasc_v1.21774, Tfasc_v1.22104, Tfasc_v1.22469, Tfasc_v1.22580, Tfasc_v1.22611, Tfasc_v1.22680, Tfasc_v1.23111, Tfasc_v1.23397, Tfasc_v1.23628, Tfasc_v1.24202, Tfasc_v1.24328, Tfasc_v1.24346, Tfasc_v1.24390, Tfasc_v1.24948, Tfasc_v1.25080, Tfasc_v1.25085, Tfasc_v1.25115, Tfasc_v1.25128, Tfasc_v1.25171, Tfasc_v1.25297, Tfasc_v1.26192, Tfasc_v1.26457, Tfasc_v1.26813, Tfasc_v1.26831, Tfasc_v1.26917, Tfasc_v1.27262, Tfasc_v1.27529, Tfasc_v1.27595, Tfasc_v1.27794, Tfasc_v1.28045, Tfasc_v1.28134, Tfasc_v1.28779, Tfasc_v1.28813, Tfasc_v1.28831, Tfasc_v1.28855, Tfasc_v1.28960, Tfasc_v1.29004, Tfasc_v1.29351, Tfasc_v1.29723, Tfasc_v1.29726, Tfasc_v1.30131, Tfasc_v1.30498, Tfasc_v1.30653
BP	GO:0072334	UDP-galactose transmembrane transport	0.0171	OG0001581, OG0012895, OG0003791	Tfasc_v1.08086, Tfasc_v1.09256, Tfasc_v1.14638
BP	GO:0006338	chromatin remodeling	0.01955	OG0018783, OG0015398, OG0008453, OG0015545, OG0003986, OG0008137, OG0012943, OG0011890, OG0018311	Tfasc_v1.01858, Tfasc_v1.02228, Tfasc_v1.04310, Tfasc_v1.06529, Tfasc_v1.07648, Tfasc_v1.15298, Tfasc_v1.18384, Tfasc_v1.23301, Tfasc_v1.29340
BP	GO:0045324	late endosome to vacuole transport	0.02064	OG0013539, OG0010418, OG0001261, OG0003410, OG0011482, OG0001489, OG0019030, OG0016030	Tfasc_v1.06124, Tfasc_v1.07712, Tfasc_v1.12255, Tfasc_v1.15082, Tfasc_v1.23111, Tfasc_v1.25363, Tfasc_v1.27475, Tfasc_v1.30695
BP	GO:0006730	one-carbon metabolic process	0.02065	OG0006587, OG0006398, OG0005996, OG0011342, OG0001683, OG0014757, OG0000619	Tfasc_v1.01418, Tfasc_v1.05638, Tfasc_v1.14408, Tfasc_v1.18282, Tfasc_v1.21769, Tfasc_v1.21774, Tfasc_v1.29300
BP	GO:0006620	posttranslational protein targeting to endoplasmic reticulum membrane	0.02082	OG0011656, OG0006128, OG0002488, OG0011860, OG0000623, OG0014862	Tfasc_v1.00241, Tfasc_v1.06406, Tfasc_v1.11326, Tfasc_v1.23370, Tfasc_v1.25212, Tfasc_v1.28319
BP	GO:0006047	UDP-N-acetylglucosamine metabolic process	0.02092	OG0001267, OG0001473	Tfasc_v1.00215, Tfasc_v1.12581, Tfasc_v1.29832
BP	GO:0032447	protein urmylation	0.02094	OG0013784, OG0008505	Tfasc_v1.01709, Tfasc_v1.04625
BP	GO:0046622	positive regulation of organ growth	0.02094	OG0004091, OG0016959	Tfasc_v1.17211, Tfasc_v1.30208
BP	GO:0009298	GDP-mannose biosynthetic process	0.02094	OG0012758, OG0004417	Tfasc_v1.16821, Tfasc_v1.21501
BP	GO:0034063	stress granule assembly	0.02094	OG0005531	Tfasc_v1.07756, Tfasc_v1.21518
BP	GO:0032876	negative regulation of DNA endoreduplication	0.02094	OG0013548, OG0008938	Tfasc_v1.06116, Tfasc_v1.24328
BP	GO:0071044	histone mRNA catabolic process	0.02094	OG0010965, OG0012761	Tfasc_v1.10856, Tfasc_v1.24390
BP	GO:0051645	Golgi localization	0.02094	OG0000760	Tfasc_v1.03367, Tfasc_v1.21421
BP	GO:0018279	protein N-linked glycosylation via asparagine	0.02563	OG0002630, OG0002253, OG0011976	Tfasc_v1.01753, Tfasc_v1.07612, Tfasc_v1.21707
BP	GO:0006621	protein retention in ER lumen	0.02563	OG0004441, OG0004223, OG0016899	Tfasc_v1.15893, Tfasc_v1.18252, Tfasc_v1.24164
BP	GO:0006970	response to osmotic stress	0.02763	OG0015881, OG0017487, OG0005859, OG0009761, OG0013815, OG0015123, OG0008878, OG0016984, OG0015712, OG0003162	Tfasc_v1.05438, Tfasc_v1.06128, Tfasc_v1.14151, Tfasc_v1.16279, Tfasc_v1.16777, Tfasc_v1.16779, Tfasc_v1.24218, Tfasc_v1.25080, Tfasc_v1.26887, Tfasc_v1.27689
