"chrom" "start_window" "end_window" "gene_count"
"1" "Scaffold_8399" 1 1e+06 71
"2" "Scaffold_8399" 1000001 2e+06 33
"3" "Scaffold_8399" 2000001 3e+06 19
"4" "Scaffold_8399" 3000001 4e+06 12
"5" "Scaffold_8399" 4000001 5e+06 9
"6" "Scaffold_8399" 5000001 6e+06 2
"7" "Scaffold_8399" 6000001 7e+06 2
"8" "Scaffold_8399" 7000001 8e+06 3
"9" "Scaffold_8399" 8000001 9e+06 5
"10" "Scaffold_8399" 9000001 1e+07 1
"11" "Scaffold_8399" 10000001 1.1e+07 1
"12" "Scaffold_8399" 11000001 1.2e+07 4
"13" "Scaffold_8399" 12000001 1.3e+07 5
"14" "Scaffold_8399" 13000001 1.4e+07 5
"15" "Scaffold_8399" 14000001 1.5e+07 2
"16" "Scaffold_8399" 15000001 1.6e+07 0
"17" "Scaffold_8399" 16000001 1.7e+07 1
"18" "Scaffold_8399" 17000001 1.8e+07 0
"19" "Scaffold_8399" 18000001 1.9e+07 3
"20" "Scaffold_8399" 19000001 2e+07 3
"21" "Scaffold_8399" 20000001 2.1e+07 0
"22" "Scaffold_8399" 21000001 2.2e+07 0
"23" "Scaffold_8399" 22000001 2.3e+07 1
"24" "Scaffold_8399" 23000001 2.4e+07 0
"25" "Scaffold_8399" 24000001 2.5e+07 0
"26" "Scaffold_8399" 25000001 2.6e+07 3
"27" "Scaffold_8399" 26000001 2.7e+07 0
"28" "Scaffold_8399" 27000001 2.8e+07 2
"29" "Scaffold_8399" 28000001 2.9e+07 0
"30" "Scaffold_8399" 29000001 3e+07 0
"31" "Scaffold_8399" 30000001 3.1e+07 0
"32" "Scaffold_8399" 31000001 3.2e+07 0
"33" "Scaffold_8399" 32000001 3.3e+07 0
"34" "Scaffold_8399" 33000001 3.4e+07 3
"35" "Scaffold_8399" 34000001 3.5e+07 2
"36" "Scaffold_8399" 35000001 3.6e+07 0
"37" "Scaffold_8399" 36000001 3.7e+07 5
"38" "Scaffold_8399" 37000001 3.8e+07 0
"39" "Scaffold_8399" 38000001 3.9e+07 0
"40" "Scaffold_8399" 39000001 4e+07 0
"41" "Scaffold_8399" 40000001 4.1e+07 2
"42" "Scaffold_8399" 41000001 4.2e+07 0
"43" "Scaffold_8399" 42000001 4.3e+07 3
"44" "Scaffold_8399" 43000001 4.4e+07 0
"45" "Scaffold_8399" 44000001 4.5e+07 0
"46" "Scaffold_8399" 45000001 4.6e+07 0
"47" "Scaffold_8399" 46000001 4.7e+07 0
"48" "Scaffold_8399" 47000001 4.8e+07 1
"49" "Scaffold_8399" 48000001 4.9e+07 1
"50" "Scaffold_8399" 49000001 5e+07 7
"51" "Scaffold_8399" 50000001 5.1e+07 14
"52" "Scaffold_8399" 51000001 5.2e+07 3
"53" "Scaffold_8399" 52000001 5.3e+07 23
"54" "Scaffold_8399" 53000001 5.4e+07 37
"55" "Scaffold_8399" 54000001 5.5e+07 47
"56" "Scaffold_8399" 55000001 5.6e+07 38
"57" "Scaffold_8399" 56000001 5.7e+07 79
"58" "Scaffold_8399" 57000001 5.8e+07 77
"59" "Scaffold_8399" 58000001 5.9e+07 49
"60" "Scaffold_8399" 59000001 6e+07 84
"61" "Scaffold_8399" 60000001 6.1e+07 16
"62" "Scaffold_10370" 1 1e+06 78
"63" "Scaffold_10370" 1000001 2e+06 85
"64" "Scaffold_10370" 2000001 3e+06 87
"65" "Scaffold_10370" 3000001 4e+06 48
"66" "Scaffold_10370" 4000001 5e+06 28
"67" "Scaffold_10370" 5000001 6e+06 16
"68" "Scaffold_10370" 6000001 7e+06 11
"69" "Scaffold_10370" 7000001 8e+06 12
"70" "Scaffold_10370" 8000001 9e+06 3
"71" "Scaffold_10370" 9000001 1e+07 6
"72" "Scaffold_10370" 10000001 1.1e+07 1
"73" "Scaffold_10370" 11000001 1.2e+07 1
"74" "Scaffold_10370" 12000001 1.3e+07 5
"75" "Scaffold_10370" 13000001 1.4e+07 1
"76" "Scaffold_10370" 14000001 1.5e+07 0
"77" "Scaffold_10370" 15000001 1.6e+07 1
"78" "Scaffold_10370" 16000001 1.7e+07 2
"79" "Scaffold_10370" 17000001 1.8e+07 0
"80" "Scaffold_10370" 18000001 1.9e+07 2
"81" "Scaffold_10370" 19000001 2e+07 0
"82" "Scaffold_10370" 20000001 2.1e+07 0
"83" "Scaffold_10370" 21000001 2.2e+07 1
"84" "Scaffold_10370" 22000001 2.3e+07 0
"85" "Scaffold_10370" 23000001 2.4e+07 3
"86" "Scaffold_10370" 24000001 2.5e+07 4
"87" "Scaffold_10370" 25000001 2.6e+07 0
"88" "Scaffold_10370" 26000001 2.7e+07 0
"89" "Scaffold_10370" 27000001 2.8e+07 1
"90" "Scaffold_10370" 28000001 2.9e+07 2
"91" "Scaffold_10370" 29000001 3e+07 0
"92" "Scaffold_10370" 30000001 3.1e+07 0
"93" "Scaffold_10370" 31000001 3.2e+07 0
"94" "Scaffold_10370" 32000001 3.3e+07 3
"95" "Scaffold_10370" 33000001 3.4e+07 2
"96" "Scaffold_10370" 34000001 3.5e+07 2
"97" "Scaffold_10370" 35000001 3.6e+07 3
"98" "Scaffold_10370" 36000001 3.7e+07 4
"99" "Scaffold_10370" 37000001 3.8e+07 0
"100" "Scaffold_10370" 38000001 3.9e+07 2
"101" "Scaffold_10370" 39000001 4e+07 0
"102" "Scaffold_10370" 40000001 4.1e+07 2
"103" "Scaffold_10370" 41000001 4.2e+07 4
"104" "Scaffold_10370" 42000001 4.3e+07 1
"105" "Scaffold_10370" 43000001 4.4e+07 0
"106" "Scaffold_10370" 44000001 4.5e+07 0
"107" "Scaffold_10370" 45000001 4.6e+07 1
"108" "Scaffold_10370" 46000001 4.7e+07 1
"109" "Scaffold_10370" 47000001 4.8e+07 5
"110" "Scaffold_10370" 48000001 4.9e+07 2
"111" "Scaffold_10370" 49000001 5e+07 6
"112" "Scaffold_10370" 50000001 5.1e+07 10
"113" "Scaffold_10370" 51000001 5.2e+07 19
"114" "Scaffold_10370" 52000001 5.3e+07 8
"115" "Scaffold_10370" 53000001 5.4e+07 24
"116" "Scaffold_10370" 54000001 5.5e+07 47
"117" "Scaffold_10370" 55000001 5.6e+07 58
"118" "Scaffold_10370" 56000001 5.7e+07 100
"119" "Scaffold_10370" 57000001 5.8e+07 6
"120" "Scaffold_247" 1 1e+06 53
"121" "Scaffold_247" 1000001 2e+06 48
"122" "Scaffold_247" 2000001 3e+06 39
"123" "Scaffold_247" 3000001 4e+06 17
"124" "Scaffold_247" 4000001 5e+06 11
"125" "Scaffold_247" 5000001 6e+06 4
"126" "Scaffold_247" 6000001 7e+06 4
"127" "Scaffold_247" 7000001 8e+06 2
"128" "Scaffold_247" 8000001 9e+06 1
"129" "Scaffold_247" 9000001 1e+07 2
"130" "Scaffold_247" 10000001 1.1e+07 4
"131" "Scaffold_247" 11000001 1.2e+07 5
"132" "Scaffold_247" 12000001 1.3e+07 9
"133" "Scaffold_247" 13000001 1.4e+07 6
"134" "Scaffold_247" 14000001 1.5e+07 0
"135" "Scaffold_247" 15000001 1.6e+07 5
"136" "Scaffold_247" 16000001 1.7e+07 4
"137" "Scaffold_247" 17000001 1.8e+07 4
"138" "Scaffold_247" 18000001 1.9e+07 2
"139" "Scaffold_247" 19000001 2e+07 1
"140" "Scaffold_247" 20000001 2.1e+07 6
"141" "Scaffold_247" 21000001 2.2e+07 5
"142" "Scaffold_247" 22000001 2.3e+07 3
"143" "Scaffold_247" 23000001 2.4e+07 1
"144" "Scaffold_247" 24000001 2.5e+07 3
"145" "Scaffold_247" 25000001 2.6e+07 5
"146" "Scaffold_247" 26000001 2.7e+07 2
"147" "Scaffold_247" 27000001 2.8e+07 0
"148" "Scaffold_247" 28000001 2.9e+07 1
"149" "Scaffold_247" 29000001 3e+07 2
"150" "Scaffold_247" 30000001 3.1e+07 2
"151" "Scaffold_247" 31000001 3.2e+07 3
"152" "Scaffold_247" 32000001 3.3e+07 1
"153" "Scaffold_247" 33000001 3.4e+07 3
"154" "Scaffold_247" 34000001 3.5e+07 0
"155" "Scaffold_247" 35000001 3.6e+07 1
"156" "Scaffold_247" 36000001 3.7e+07 0
"157" "Scaffold_247" 37000001 3.8e+07 2
"158" "Scaffold_247" 38000001 3.9e+07 3
"159" "Scaffold_247" 39000001 4e+07 2
"160" "Scaffold_247" 40000001 4.1e+07 0
"161" "Scaffold_247" 41000001 4.2e+07 0
"162" "Scaffold_247" 42000001 4.3e+07 0
"163" "Scaffold_247" 43000001 4.4e+07 0
"164" "Scaffold_247" 44000001 4.5e+07 0
"165" "Scaffold_247" 45000001 4.6e+07 0
"166" "Scaffold_247" 46000001 4.7e+07 3
"167" "Scaffold_247" 47000001 4.8e+07 6
"168" "Scaffold_247" 48000001 4.9e+07 6
"169" "Scaffold_247" 49000001 5e+07 12
"170" "Scaffold_247" 50000001 5.1e+07 13
"171" "Scaffold_247" 51000001 5.2e+07 29
"172" "Scaffold_247" 52000001 5.3e+07 54
"173" "Scaffold_247" 53000001 5.4e+07 66
"174" "Scaffold_247" 54000001 5.5e+07 41
"175" "Scaffold_247" 55000001 5.6e+07 10
"176" "Scaffold_4655" 1 1e+06 85
"177" "Scaffold_4655" 1000001 2e+06 95
"178" "Scaffold_4655" 2000001 3e+06 76
"179" "Scaffold_4655" 3000001 4e+06 79
"180" "Scaffold_4655" 4000001 5e+06 35
"181" "Scaffold_4655" 5000001 6e+06 12
"182" "Scaffold_4655" 6000001 7e+06 10
"183" "Scaffold_4655" 7000001 8e+06 5
"184" "Scaffold_4655" 8000001 9e+06 4
"185" "Scaffold_4655" 9000001 1e+07 1
"186" "Scaffold_4655" 10000001 1.1e+07 0
"187" "Scaffold_4655" 11000001 1.2e+07 0
"188" "Scaffold_4655" 12000001 1.3e+07 0
"189" "Scaffold_4655" 13000001 1.4e+07 0
"190" "Scaffold_4655" 14000001 1.5e+07 0
"191" "Scaffold_4655" 15000001 1.6e+07 0
"192" "Scaffold_4655" 16000001 1.7e+07 0
"193" "Scaffold_4655" 17000001 1.8e+07 0
"194" "Scaffold_4655" 18000001 1.9e+07 0
"195" "Scaffold_4655" 19000001 2e+07 3
"196" "Scaffold_4655" 20000001 2.1e+07 0
"197" "Scaffold_4655" 21000001 2.2e+07 1
"198" "Scaffold_4655" 22000001 2.3e+07 3
"199" "Scaffold_4655" 23000001 2.4e+07 1
"200" "Scaffold_4655" 24000001 2.5e+07 0
"201" "Scaffold_4655" 25000001 2.6e+07 0
"202" "Scaffold_4655" 26000001 2.7e+07 5
"203" "Scaffold_4655" 27000001 2.8e+07 3
"204" "Scaffold_4655" 28000001 2.9e+07 1
"205" "Scaffold_4655" 29000001 3e+07 5
"206" "Scaffold_4655" 30000001 3.1e+07 0
"207" "Scaffold_4655" 31000001 3.2e+07 1
"208" "Scaffold_4655" 32000001 3.3e+07 6
"209" "Scaffold_4655" 33000001 3.4e+07 1
"210" "Scaffold_4655" 34000001 3.5e+07 0
"211" "Scaffold_4655" 35000001 3.6e+07 2
"212" "Scaffold_4655" 36000001 3.7e+07 6
"213" "Scaffold_4655" 37000001 3.8e+07 7
"214" "Scaffold_4655" 38000001 3.9e+07 3
