Scaffold	total_length	total_exonic_length	proportion_exonic
Tfas_chr1	32162447	708441	2.20
Tfas_chr2	31698969	777558	2.45
Tfas_chr3	31153634	666246	2.14
Tfas_chr4	30972320	697583	2.25
Tfas_chr5	30145683	674589	2.24
Tfas_chr6	29567185	649463	2.20
Tfas_chr7	27230796	679673	2.50
Tfas_chr8	27210704	653999	2.40
Tfas_chr9	26509606	486860	1.84
Tfas_chr10	26021936	575256	2.21
Tfas_chr11	25842354	683173	2.64
Tfas_chr12	25341332	557315	2.20
Tfas_chr13	24881768	582790	2.34
Tfas_chr14	24649150	500631	2.03
Tfas_chr15	23784123	554892	2.33
Tfas_chr16	23642332	525303	2.22
Tfas_chr17	21704838	508794	2.34
Tfas_chr18	21234157	542570	2.56
Tfas_chr19	19440187	459747	2.36
Tfas_chr20	19367790	443698	2.29
Tfas_chr21	18018563	582077	3.23
Tfas_chr22	17107477	471084	2.75
Tfas_chr23	16741216	474910	2.84
Tfas_chr24	13520883	352738	2.61
Tfas_chr25	12332728	396914	3.22
