Ortho_ID	Tfas_ID	Tlei_ID	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
OG0013814_NT	Tfasc_v1.24575-RA:cds	Tlei_v1.25954-RA:cds	MYN	0.046347	0.0383217	1.20942	0.712027	303	71.5549	231.445	NA	13	2.63525	10.3647	NA	NA	0.0444518	11.5071:9.19522:1:1:1:1	0.402047(0.52193:0.381579:0.302632)	NA	NA	NA	NA
OG0006706_NT	Tfasc_v1.28040-RA:cds	Tlei_v1.30312-RA:cds	MYN	0.00130751	0.0113455	0.115245	0.051919	1035	269.438	765.562	NA	4	3	1	NA	NA	0.00392068	2:2:1:1:1:1	0.502577(0.478093:0.454897:0.574742)	NA	NA	NA	NA
OG0019306_NT	Tfasc_v1.12033-RA:cds	Tlei_v1.11119-RA:cds	MYN	0.0149949	0.0425739	0.352208	0.0704414	552	147.454	404.546	NA	12	6	6	NA	NA	0.022362	2:2:1:1:1:1	0.473485(0.486364:0.379545:0.554545)	NA	NA	NA	NA
OG0018692_NT	Tfasc_v1.16731-RA:cds	Tlei_v1.07629-RA:cds	MYN	0.0729018	0.0907613	0.803226	0.496391	714	164.995	549.005	NA	52	13.8764	38.1236	NA	NA	0.0770289	1.55183:1.03477:1:1:1:1	0.404151(0.397436:0.39011:0.424908)	NA	NA	NA	NA
OG0018833_NT	Tfasc_v1.02650-RA:cds	Tlei_v1.26621-RA:cds	MYN	0.0150189	NA	NA	NA	369	99.8872	269.113	NA	4	NA	4	NA	NA	0.0109533	4.61227:3.30919:1:1:1:1	0.420863(0.482014:0.356115:0.42446)	NA	NA	NA	NA
OG0015747_NT	Tfasc_v1.26973-RA:cds	Tlei_v1.28608-RA:cds	MYN	0.0131479	0.0305472	0.430411	0.049957	1023	218.056	804.944	NA	17	6.5105	10.4895	NA	NA	0.0168566	0.865637:0.519437:1:1:1:1	0.461507(0.458231:0.414005:0.512285)	NA	NA	NA	NA
OG0005932_NT	Tfasc_v1.14271-RA:cds	Tlei_v1.30584-RA:cds	MYN	0.00522723	0.0210364	0.248485	0.0710773	771	193.984	577.016	NA	7	4	3	NA	NA	0.00920481	2.32301:2.90748:1:1:1:1	0.445602(0.493056:0.460069:0.383681)	NA	NA	NA	NA
OG0014863_NT	Tfasc_v1.10597-RA:cds	Tlei_v1.01129-RA:cds	MYN	0.127928	0.169179	0.756169	0.784696	174	42.3522	131.648	NA	21	5.56564	15.4344	NA	NA	0.137969	1.08496:1.02248:1:1:1:1	0.285948(0.284314:0.245098:0.328431)	NA	NA	NA	NA
OG0003171_NT	Tfasc_v1.27599-RA:cds	Tlei_v1.29909-RA:cds	MYN	0.0173936	0.0322628	0.539121	0.253149	759	209.563	549.437	NA	16	6.57687	9.42313	NA	NA	0.021499	24.0644:7.3955:1:1:1:1	0.577361(0.575085:0.503413:0.653584)	NA	NA	NA	NA
OG0010810_NT	Tfasc_v1.11852-RA:cds	Tlei_v1.11308-RA:cds	MYN	0.0143293	0.0492584	0.2909	0.00226011	1236	198.435	1037.57	NA	24	9.27692	14.7231	NA	NA	0.019937	3.43419:2.13013:1:1:1:1	0.610157(0.625536:0.418455:0.786481)	NA	NA	NA	NA
OG0019023_NT	Tfasc_v1.27370-RA:cds	Tlei_v1.22676-RA:cds	MYN	0.111638	0.0791751	1.41001	0.455024	429	112.469	316.531	NA	41	8.3732	32.6268	NA	NA	0.103127	2.9062:3.63114:1:1:1:1	0.449495(0.5:0.557576:0.290909)	NA	NA	NA	NA
OG0003215_NT	Tfasc_v1.08822-RA:cds	Tlei_v1.13202-RA:cds	MYN	0.00187813	0.0149476	0.125647	0	738	203.012	534.988	NA	4	3	1	NA	NA	0.00547333	2:2:1:1:1:1	0.50346(0.555363:0.451557:0.50346)	NA	NA	NA	NA
OG0004069_NT	Tfasc_v1.12073-RA:cds	Tlei_v1.11064-RA:cds	MYN	0.0101391	NA	NA	NA	267	67.5762	199.424	NA	2	NA	2	NA	NA	0.00757296	2:2:1:1:1:1	0.432692(0.413462:0.528846:0.355769)	NA	NA	NA	NA
