scaffold	length	orthocount_all	orthocount_one	ratio	order
Scaffold_8399	60417217	1618	663	0.409765142150803	1
Scaffold_10370	57132681	1706	673	0.394490035169988	2
Scaffold_247	55693152	1319	494	0.374526156178923	3
Scaffold_4655	55355978	1327	561	0.422758100979653	4
Scaffold_10302	54835787	1287	453	0.351981351981352	5
Scaffold_10429	52333425	1544	644	0.417098445595855	6
Scaffold_5555	52290719	1141	414	0.362839614373357	7
Scaffold_9938	51368336	1620	573	0.353703703703704	8
Scaffold_4582	50270259	1386	572	0.412698412698413	9
Scaffold_7805	48367378	1420	641	0.451408450704225	10
Scaffold_269	45933410	1005	364	0.362189054726368	11
Scaffold_6112	43354870	1161	461	0.397071490094746	12
Scaffold_10423	39222561	1002	354	0.353293413173653	13
Scaffold_7317	38474115	1706	907	0.531652989449004	14
Scaffold_4198	34590513	1338	652	0.48729446935725	15
Scaffold_7315	30260857	964	438	0.454356846473029	16
Scaffold_10425	28860503	1214	457	0.376441515650741	17
Scaffold_10428	26162001	844	389	0.460900473933649	18
Scaffold_10433	20449340	1206	716	0.593698175787728	19
Scaffold_612	18294627	1037	544	0.524590163934426	20
Scaffold_10430	11471721	745	384	0.515436241610738	21
Scaffold_10431	10199391	725	443	0.611034482758621	22
Scaffold_10426	9804442	927	602	0.64940668824164	23
Scaffold_10432	8346026	569	311	0.546572934973638	24
Scaffold_10424	1986623	48	15	0.3125	25
Scaffold_10427	991997	48	10	0.208333333333333	26
Scaffold_5667	365924	4	0	0	27
Scaffold_5642	299475	1	0	0	28
Scaffold_8133	293306	1	0	0	29
Scaffold_534	283659	4	0	0	30
Scaffold_10417	277975	3	0	0	31
Scaffold_6695	248208	6	0	0	32
Scaffold_539	240869	4	0	0	33
Scaffold_4475	238819	1	0	0	34
Scaffold_4761	235577	1	0	0	35
Scaffold_7305	234779	15	0	0	36
Scaffold_46	217153	2	0	0	37
Scaffold_6051	216756	3	0	0	38
Scaffold_4316	212859	3	0	0	39
Scaffold_3488	212848	4	0	0	40
Scaffold_8564	212710	6	1	0.166666666666667	41
Scaffold_7176	207114	2	0	0	42
Scaffold_5493	204488	3	0	0	43
Scaffold_186	201575	2	0	0	44
Scaffold_10353	201318	1	0	0	45
Scaffold_4789	199434	3	0	0	46
Scaffold_4375	199390	2	0	0	47
Scaffold_10404	199166	2	0	0	48
Scaffold_3871	187555	1	0	0	49
Scaffold_5894	183132	6	0	0	50
Scaffold_4104	181744	4	0	0	51
Scaffold_8813	178871	2	0	0	52
Scaffold_10405	178770	2	0	0	53
Scaffold_5843	175097	3	0	0	54
Scaffold_403	173399	1	0	0	55
Scaffold_8121	172027	1	0	0	56
Scaffold_691	170670	2	0	0	57
Scaffold_10357	167850	1	0	0	58
Scaffold_3791	166120	3	0	0	59
Scaffold_5421	165607	2	0	0	60
Scaffold_165	164680	3	0	0	61
Scaffold_4142	163969	1	0	0	62
Scaffold_3819	161682	11	0	0	63
Scaffold_8741	160490	1	0	0	64
Scaffold_3801	160232	1	0	0	65
Scaffold_8689	157059	1	0	0	66
Scaffold_6310	156410	1	0	0	67
Scaffold_4511	155248	1	0	0	68
Scaffold_7654	153083	3	0	0	69
Scaffold_135	151411	2	0	0	70
Scaffold_5629	149293	2	0	0	71
Scaffold_8365	149183	1	0	0	72
Scaffold_3695	148437	1	0	0	73
Scaffold_3780	148108	6	0	0	74
Scaffold_854	147114	1	0	0	75
Scaffold_10325	147070	1	0	0	76
Scaffold_6632	146356	1	0	0	77
Scaffold_4492	145854	3	0	0	78
Scaffold_741	145681	1	0	0	79
Scaffold_5557	144841	1	0	0	80
Scaffold_4595	144608	4	0	0	81
Scaffold_5088	143833	1	0	0	82
Scaffold_794	143135	1	0	0	83
Scaffold_10270	142760	5	0	0	84
Scaffold_5201	142550	1	0	0	85
Scaffold_3494	142442	3	0	0	86
Scaffold_10393	141850	1	0	0	87
Scaffold_6406	141507	8	0	0	88
Scaffold_4115	141470	1	0	0	89
Scaffold_240	139595	5	0	0	90
Scaffold_4385	139565	2	0	0	91
Scaffold_8338	139404	2	0	0	92
Scaffold_8210	138449	1	0	0	93
Scaffold_10332	138036	1	0	0	94
Scaffold_4042	137736	2	0	0	95
Scaffold_7491	137585	1	0	0	96
Scaffold_3952	136096	3	0	0	97
Scaffold_4463	135770	3	0	0	98
Scaffold_4089	134900	2	0	0	99
Scaffold_8480	133386	14	0	0	100
Scaffold_10369	133382	1	0	0	101
Scaffold_4461	132027	1	0	0	102
Scaffold_4043	131279	2	0	0	103
Scaffold_3444	131051	3	0	0	104
Scaffold_8373	130170	1	0	0	105
Scaffold_5708	130056	4	0	0	106
Scaffold_7653	129646	1	0	0	107
Scaffold_6487	128262	1	0	0	108
Scaffold_5251	127887	2	0	0	109
Scaffold_4870	127387	3	0	0	110
Scaffold_4666	127355	1	0	0	111
Scaffold_6608	127124	3	0	0	112
Scaffold_7571	126432	2	0	0	113
Scaffold_5850	126154	1	0	0	114
Scaffold_4636	125813	2	1	0.5	115
Scaffold_6882	125716	1	0	0	116
Scaffold_10304	125530	2	0	0	117
Scaffold_5653	125254	1	0	0	118
Scaffold_7980	124554	1	0	0	119
Scaffold_4101	123888	1	0	0	120
Scaffold_6769	123727	1	0	0	121
Scaffold_4592	123333	3	0	0	122
Scaffold_10356	122787	2	0	0	123
Scaffold_5062	122574	1	0	0	124
Scaffold_3454	121996	1	0	0	125
Scaffold_4067	121746	3	0	0	126
Scaffold_649	121336	3	0	0	127
Scaffold_10371	121124	1	0	0	128
Scaffold_7705	120218	4	0	0	129
Scaffold_234	119924	1	0	0	130
Scaffold_10394	119569	3	0	0	131
Scaffold_6737	119379	1	0	0	132
Scaffold_10360	119236	1	0	0	133
Scaffold_9267	118976	5	0	0	134
Scaffold_4374	118885	10	1	0.1	135
Scaffold_6550	118591	1	0	0	136
Scaffold_6962	117991	1	0	0	137
Scaffold_53	117555	1	0	0	138
Scaffold_8472	117511	1	0	0	139
Scaffold_3636	117297	1	0	0	140
Scaffold_4051	116731	4	0	0	141
Scaffold_4513	115863	1	0	0	142
Scaffold_8000	115532	2	1	0.5	143
Scaffold_760	115397	2	0	0	144
Scaffold_9109	115254	1	0	0	145
Scaffold_8213	115169	1	0	0	146
Scaffold_246	114323	1	0	0	147
Scaffold_10359	114129	2	0	0	148
Scaffold_5524	114055	1	0	0	149
Scaffold_8629	113840	2	0	0	150
Scaffold_8641	113740	33	0	0	151
Scaffold_8274	113225	5	0	0	152
Scaffold_659	113112	1	0	0	153
Scaffold_8819	112685	1	0	0	154
Scaffold_10292	112209	1	0	0	155
Scaffold_10262	112104	2	1	0.5	156
Scaffold_8992	111989	1	0	0	157
Scaffold_1012	111846	42	0	0	158
Scaffold_7688	111771	2	0	0	159
Scaffold_267	111442	1	0	0	160
Scaffold_3666	111341	2	0	0	161
Scaffold_8300	111273	3	0	0	162
Scaffold_8871	111019	2	0	0	163
Scaffold_4570	110937	2	0	0	164
Scaffold_10331	110635	6	0	0	165
Scaffold_6353	110299	2	0	0	166
Scaffold_10406	110180	1	0	0	167
Scaffold_7780	109752	4	0	0	168
Scaffold_3498	109742	2	0	0	169
Scaffold_3446	109633	1	0	0	170
Scaffold_4029	109415	1	0	0	171
Scaffold_10343	109376	1	0	0	172
Scaffold_7018	109267	1	0	0	173
Scaffold_10410	109232	5	0	0	174
Scaffold_5686	109066	5	0	0	175
Scaffold_5066	108448	2	0	0	176
Scaffold_6233	108137	1	0	0	177
Scaffold_5519	108016	1	0	0	178
Scaffold_4888	106804	5	0	0	179
Scaffold_7978	106532	1	0	0	180
Scaffold_10322	106249	1	0	0	181
Scaffold_6257	106246	1	0	0	182
Scaffold_10377	105600	1	0	0	183
Scaffold_5384	105422	2	1	0.5	184
Scaffold_7737	105180	1	0	0	185
Scaffold_5037	104689	2	0	0	186
Scaffold_464	104687	2	0	0	187
Scaffold_8437	104051	2	0	0	188
Scaffold_3953	103913	1	0	0	189
Scaffold_8438	103635	1	0	0	190
Scaffold_4938	103535	1	0	0	191
Scaffold_8007	103525	2	1	0.5	192
Scaffold_4272	103435	1	0	0	193
Scaffold_9036	103258	2	0	0	194
Scaffold_8638	103155	46	1	0.0217391304347826	195
Scaffold_724	102685	1	0	0	196
Scaffold_7375	102684	2	0	0	197
Scaffold_10283	102391	1	0	0	198
Scaffold_8977	102385	1	0	0	199
Scaffold_8765	101916	4	0	0	200
Scaffold_5122	101525	1	0	0	201
Scaffold_5039	100855	3	0	0	202
Scaffold_4937	100800	2	0	0	203
Scaffold_5312	100767	1	0	0	204
Scaffold_5833	100518	1	0	0	205
Scaffold_5590	100197	2	0	0	206
Scaffold_6215	100142	1	0	0	207
Scaffold_5370	100133	3	0	0	208
Scaffold_10294	100113	2	0	0	209
Scaffold_6842	99757	1	0	0	210
Scaffold_147	99552	1	0	0	211
Scaffold_543	99544	2	0	0	212
Scaffold_5202	99386	1	0	0	213
Scaffold_885	99287	2	0	0	214
Scaffold_4186	99117	1	0	0	215
Scaffold_5214	99019	2	0	0	216
Scaffold_9367	98963	2	0	0	217
Scaffold_9275	98630	1	0	0	218
Scaffold_8064	98412	1	0	0	219
Scaffold_5408	98034	1	0	0	220
Scaffold_6864	98012	1	0	0	221
Scaffold_6157	97990	3	0	0	222
Scaffold_4887	97959	1	0	0	223
Scaffold_153	97811	3	0	0	224
Scaffold_7641	97767	2	0	0	225
Scaffold_6639	97716	7	0	0	226
Scaffold_3760	97692	1	0	0	227
Scaffold_5415	97373	5	0	0	228
Scaffold_7185	97183	8	2	0.25	229
Scaffold_8434	97119	3	0	0	230
Scaffold_4472	96812	1	0	0	231
Scaffold_5382	96683	1	0	0	232
Scaffold_4045	96420	2	0	0	233
Scaffold_6564	95936	4	0	0	234
Scaffold_734	95918	5	0	0	235
Scaffold_4942	95429	3	1	0.333333333333333	236
Scaffold_5114	95347	3	0	0	237
Scaffold_7394	94816	2	0	0	238
Scaffold_5853	94525	2	0	0	239
Scaffold_10420	94250	2	0	0	240
Scaffold_7298	94044	1	0	0	241
Scaffold_7876	93915	2	0	0	242
Scaffold_10413	93446	1	0	0	243
Scaffold_6330	93324	2	0	0	244
Scaffold_10253	93302	1	0	0	245
Scaffold_989	92808	1	0	0	246
Scaffold_5537	92751	1	0	0	247
Scaffold_4688	92671	1	0	0	248
Scaffold_3638	92553	1	0	0	249
Scaffold_783	92167	1	0	0	250
Scaffold_7756	92095	1	0	0	251
Scaffold_8462	91847	2	0	0	252
Scaffold_5685	91800	2	0	0	253
Scaffold_7716	91770	1	0	0	254
Scaffold_9428	91579	1	0	0	255
Scaffold_370	91213	5	0	0	256
Scaffold_5250	91156	2	0	0	257
